序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,688750,金天钛业,净利润,"预计2024年1-9月净利润盈利:11,000万元至12,500万元,同比上年增长:16.03%至31.86%。",117500000.0,23.945,"财务报告审计基准日至招股说明书签署日之间,公司经营状况良好,预计2024年1-9月营业收入和扣除非经常性损益后归属于母公司股东的净利润同比均有所增长。",略增,94799500.0,2024-11-14
2,688750,金天钛业,扣除非经常性损益后的净利润,"预计2024年1-9月扣除非经常性损益后的净利润盈利:9,700万元至11,000万元,同比上年增长:12.87%至27.99%。",103500000.0,20.43,"财务报告审计基准日至招股说明书签署日之间,公司经营状况良好,预计2024年1-9月营业收入和扣除非经常性损益后归属于母公司股东的净利润同比均有所增长。",略增,85943300.0,2024-11-14
3,688750,金天钛业,营业收入,"预计2024年1-9月营业收入:61,000万元至64,000万元,同比上年增长:8.18%至13.5%。",625000000.0,10.84,"财务报告审计基准日至招股说明书签署日之间,公司经营状况良好,预计2024年1-9月营业收入和扣除非经常性损益后归属于母公司股东的净利润同比均有所增长。",略增,563862500.0,2024-11-14
4,688750,金天钛业,归属于上市公司股东的净利润,"预计2024年1-9月归属于上市公司股东的净利润盈利:11,000万元至12,500万元,同比上年增长:16.03%至31.86%。",117500000.0,23.945,"财务报告审计基准日至招股说明书签署日之间,公司经营状况良好,预计2024年1-9月营业收入和扣除非经常性损益后归属于母公司股东的净利润同比均有所增长。",略增,94799500.0,2024-11-14
5,603205,健尔康,净利润,"预计2024年1-9月净利润盈利:9,189.09万元至9,598.22万元,同比上年增长:10.18%至15.09%。",93936550.0,12.635,,略增,83399700.0,2024-10-31
6,603205,健尔康,扣除非经常性损益后的净利润,"预计2024年1-9月扣除非经常性损益后的净利润盈利:8,866.55万元至9,275.68万元,同比上年增长:8.75%至13.77%。",90711150.0,11.26,,略增,81532100.0,2024-10-31
7,603205,健尔康,营业收入,"预计2024年1-9月营业收入:78,000万元至80,000万元,同比上年增长:9.65%至12.46%。",790000000.0,11.055,,略增,711333100.0,2024-10-31
8,603205,健尔康,归属于上市公司股东的净利润,"预计2024年1-9月归属于上市公司股东的净利润盈利:9,189.09万元至9,598.22万元,同比上年增长:10.18%至15.09%。",93936550.0,12.635,,略增,83399700.0,2024-10-31
9,688726,拉普拉斯,归属于上市公司股东的净利润,"预计2024年1-9月归属于上市公司股东的净利润盈利:48,000万元至59,000万元,同比上年增长:246.98%至326.5%。",535000000.0,286.74,"2024年,新型高效光伏电池片产业化程度进一步加深,受益于产业发展以及公司产品良好的竞争能力,公司设备获得持续规模化验收。",预增,138335900.0,2024-10-28
10,688726,拉普拉斯,扣除非经常性损益后的净利润,"预计2024年1-9月扣除非经常性损益后的净利润盈利:44,000万元至53,000万元,同比上年增长:285.2%至363.99%。",485000000.0,324.595,"2024年,新型高效光伏电池片产业化程度进一步加深,受益于产业发展以及公司产品良好的竞争能力,公司设备获得持续规模化验收。",预增,114226600.0,2024-10-28
11,688726,拉普拉斯,营业收入,"预计2024年1-9月营业收入:360,000万元至439,000万元,同比上年增长:147.41%至201.7%。",3995000000.0,174.555,"2024年,新型高效光伏电池片产业化程度进一步加深,受益于产业发展以及公司产品良好的竞争能力,公司设备获得持续规模化验收。",预增,1455079800.0,2024-10-28
12,920111,聚星科技,归属于上市公司股东的净利润,"预计2024年1-9月归属于上市公司股东的净利润盈利:8,300万元至9,200万元,同比上年增长:50.09%至66.36%。",87500000.0,58.225,,预增,55300600.0,2024-10-25
13,920111,聚星科技,扣除非经常性损益后的净利润,"预计2024年1-9月扣除非经常性损益后的净利润盈利:7,400万元至8,200万元,同比上年增长:41.2%至56.46%。",78000000.0,48.83,,预增,52408700.0,2024-10-25
14,920111,聚星科技,营业收入,"预计2024年1-9月营业收入:66,000万元至73,000万元,同比上年增长:57.36%至74.05%。",695000000.0,65.705,,预增,419417300.0,2024-10-25
15,603271,永杰新材,归属于上市公司股东的净利润,"预计2024年1-9月归属于上市公司股东的净利润盈利:23,300万元至26,300万元,同比上年增长:50.59%至69.98%。",248000000.0,60.285,,预增,154719800.0,2024-10-25
16,603271,永杰新材,扣除非经常性损益后的净利润,"预计2024年1-9月扣除非经常性损益后的净利润盈利:23,300万元至26,300万元,同比上年增长:43.98%至62.52%。",248000000.0,53.25,,预增,161823000.0,2024-10-25
17,603271,永杰新材,营业收入,"预计2024年1-9月营业收入:553,000万元至583,000万元,同比上年增长:19.09%至25.55%。",5680000000.0,22.32,,略增,4643730800.0,2024-10-25
