代码,名称,公告标题,公告类型,公告日期,网址
002731,*ST萃华,ST萃华:关于公司及部分子公司新增借款逾期的公告,借贷,2026-05-28,https://data.eastmoney.com/notices/detail/002731/AN202605271822913921.html
600753,ST海钦,*ST海钦:海钦股份关于完成董事会换届选举及聘任高级管理人员、证券事务代表的公告,高管人员任职变动,2026-05-28,https://data.eastmoney.com/notices/detail/600753/AN202605271822919508.html
002306,ST云网,*ST云网:关于延长公司向特定对象发行股票相关决议及股东会授权办理相关事宜有效期的公告,增发方案修订,2026-05-28,https://data.eastmoney.com/notices/detail/002306/AN202605271822917673.html
301669,高特电子,高特电子:首次公开发行股票并在创业板上市发行公告,网下发行公告,2026-05-28,https://data.eastmoney.com/notices/detail/301669/AN202605271822920521.html
605189,富春染织,富春染织:富春染织关于为控股子公司提供担保的公告,提供/对外担保公告,2026-05-28,https://data.eastmoney.com/notices/detail/605189/AN202605271822912455.html
301632,广东建科,广东建科:2025年年度股东会决议公告,分配方案决议公告,2026-05-28,https://data.eastmoney.com/notices/detail/301632/AN202605281822952392.html
300473,德尔股份,德尔股份:2025年年度股东会决议公告,分配方案决议公告,2026-05-28,https://data.eastmoney.com/notices/detail/300473/AN202605281822951901.html
A26136,欧尚元,3-1-2发行保荐书(申报稿)(欧尚元智能装备股份有限公司),创业板IPO发行保荐书申报稿,2026-05-28,https://data.eastmoney.com/notices/detail/A26136/AN202605281822957190.html
302132,中航成飞,中航成飞:中航成飞股份有限公司投资者关系活动记录表（2026年5月27日）,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/302132/AN202605281822956914.html
300729,乐歌股份,乐歌股份:关于收购苏州亿思贝斯科技有限公司32%股权暨关联交易的公告,收购出售资产/股权,2026-05-28,https://data.eastmoney.com/notices/detail/300729/AN202605281822954823.html
300729,乐歌股份,乐歌股份:国泰海通证券股份有限公司关于乐歌人体工学科技股份有限公司购买参股公司少数股权暨关联交易的核查意见,保荐/核查意见,2026-05-28,https://data.eastmoney.com/notices/detail/300729/AN202605281822954825.html
920008,成电光信,成电光信:投资者关系活动记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/920008/AN202605281822952452.html
920433,大唐药业,大唐药业:投资者关系活动记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/920433/AN202605281822952094.html
920799,艾融软件,艾融软件:2025年年度权益分派实施公告,分配方案实施,2026-05-28,https://data.eastmoney.com/notices/detail/920799/AN202605281822951231.html
300655,晶瑞电材,晶瑞电材:关于发行股份购买资产暨关联交易报告书(草案)(修订稿)修订说明的公告,其他,2026-05-28,https://data.eastmoney.com/notices/detail/300655/AN202605281822951208.html
A21032,海和药物,国金证券股份有限公司关于上海海和药物研究开发股份有限公司首次公开发行股票并在科创板上市之上市保荐书(申报稿)(上海海和药物研究开发股份有限公司),科创板发行上市上市保荐书,2026-05-28,https://data.eastmoney.com/notices/detail/A21032/AN202605281822948470.html
002555,三七互娱,三七互娱:2026年5月27日投资者活动关系记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/002555/AN202605281822947779.html
300655,晶瑞电材,晶瑞电材:发行股份购买资产暨关联交易报告书(草案)摘要(修订稿),其他增发事项公告,2026-05-28,https://data.eastmoney.com/notices/detail/300655/AN202606231823772993.html
300655,晶瑞电材,晶瑞电材:发行股份购买资产暨关联交易报告书(草案)(修订稿),其他增发事项公告,2026-05-28,https://data.eastmoney.com/notices/detail/300655/AN202606231823772922.html
300655,晶瑞电材,晶瑞电材:长城证券股份有限公司关于晶瑞电子材料股份有限公司发行股份购买资产暨关联交易之独立财务顾问报告(修订稿),保荐/核查意见,2026-05-28,https://data.eastmoney.com/notices/detail/300655/AN202606231823772809.html
A26099,三绿科技,关于安徽三绿科技股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作总结报告,2026-05-28,https://data.eastmoney.com/notices/detail/A26099/AN202606061823327783.html
A20561,成立航空,关于成立航空股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作总结报告,2026-05-28,https://data.eastmoney.com/notices/detail/A20561/AN202606061823327778.html
A26058,卓目科技,关于武汉卓目科技股份有限公司向不特定合格投资者公开发行股票并在北京证券交易所上市辅导工作完成报告,辅导工作总结报告,2026-05-28,https://data.eastmoney.com/notices/detail/A26058/AN202606041823245062.html
A22488,锦艺新材,关于苏州锦艺新材料科技股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作总结报告,2026-05-28,https://data.eastmoney.com/notices/detail/A22488/AN202605311823105634.html
A26130,维衡股份,关于苏州维衡科技股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作总结报告,2026-05-28,https://data.eastmoney.com/notices/detail/A26130/AN202605311823105633.html
A26023,绽妍生物,关于绽妍生物科技股份有限公司向不特定合格投资者公开发行股票并在北京证券交易所上市辅导工作完成报告,辅导工作总结报告,2026-05-28,https://data.eastmoney.com/notices/detail/A26023/AN202605301823084338.html
000758,中色股份,中色股份:2026年5月28日投资者关系活动记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/000758/AN202605281822965729.html
001205,盛航股份,盛航股份:2026年5月27日投资者关系活动记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/001205/AN202605281822958077.html
301335,天元宠物,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(杭州天元宠物用品股份有限公司),创业板重大资产重组审计报告申报稿,2026-05-28,https://data.eastmoney.com/notices/detail/301335/AN202605281822957815.html
301335,天元宠物,3-2法律意见书(申报稿)(杭州天元宠物用品股份有限公司),创业板重大资产重组法律意见书申报稿,2026-05-28,https://data.eastmoney.com/notices/detail/301335/AN202605281822957814.html
301335,天元宠物,3-1独立财务顾问报告(申报稿)(杭州天元宠物用品股份有限公司),创业板重大资产重组独立财务顾问报告申报稿,2026-05-28,https://data.eastmoney.com/notices/detail/301335/AN202605281822957813.html
301335,天元宠物,2-1重大资产重组报告书(申报稿)(杭州天元宠物用品股份有限公司),创业板重大资产重组报告书申报稿,2026-05-28,https://data.eastmoney.com/notices/detail/301335/AN202605281822957812.html
002797,第一创业,第一创业:2026年5月28日投资者关系活动记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/002797/AN202605281822957664.html
A25128,杰锋动力,北京证券交易所上市委员会2026年第54次审议会议公告,北交所上市审核会议公告,2026-05-28,https://data.eastmoney.com/notices/detail/A25128/AN202605281822957496.html
002279,久其软件,久其软件:002279久其软件投资者关系管理信息20260528,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/002279/AN202605281822957504.html
300324,旋极信息,旋极信息:2025年度网上业绩说明会投资者关系活动记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/300324/AN202605281822957429.html
301237,和顺科技,和顺科技:2026年5月28日和顺科技投资者关系活动记录表,调研活动,2026-05-28,https://data.eastmoney.com/notices/detail/301237/AN202605281822957353.html
