序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,000656,金科股份,归属于上市公司股东的净利润,"预计2025年1-6月归属于上市公司股东的净利润亏损:752,250.49万元。",-7522504900.0,-97.91,"2025年半年度业绩预告时,公司半年度财务报告合并报表编制工作尚未全面完成,受部分联合营公司财务资料提供滞后、少数项目的资产被拍卖处置、个别项目公司终结破产裁定书传递时效延迟等影响,公司对半年度业绩预告数据进行修正。法院已经于2025年5月10日及11日裁定批准公司及重庆金科的重整计划,根据重整计划约定,公司及重庆金科的大部分子公司股权将剥离至破产服务信托,用作清偿公司及重庆金科的普通债权,且移交完成后相关子公司将不再纳入合并报表范围。截至本报告披露日,管理人已经选定中信信托有限责任公司及中国工商银行股份有限公司重庆市分行分别为企业破产服务信托的受托人和保管银行,相关协议签署工作正在有序推进。",增亏,-3801030900.0,2025-08-30
2,000656,金科股份,扣除非经常性损益后的净利润,"预计2025年1-6月扣除非经常性损益后的净利润亏损:666,602.4万元。",-6666024000.0,-128.62,"2025年半年度业绩预告时,公司半年度财务报告合并报表编制工作尚未全面完成,受部分联合营公司财务资料提供滞后、少数项目的资产被拍卖处置、个别项目公司终结破产裁定书传递时效延迟等影响,公司对半年度业绩预告数据进行修正。法院已经于2025年5月10日及11日裁定批准公司及重庆金科的重整计划,根据重整计划约定,公司及重庆金科的大部分子公司股权将剥离至破产服务信托,用作清偿公司及重庆金科的普通债权,且移交完成后相关子公司将不再纳入合并报表范围。截至本报告披露日,管理人已经选定中信信托有限责任公司及中国工商银行股份有限公司重庆市分行分别为企业破产服务信托的受托人和保管银行,相关协议签署工作正在有序推进。",增亏,-2915721200.0,2025-08-30
3,000656,金科股份,每股收益,预计2025年1-6月每股收益亏损:1.42元。,-1.42,,"2025年半年度业绩预告时,公司半年度财务报告合并报表编制工作尚未全面完成,受部分联合营公司财务资料提供滞后、少数项目的资产被拍卖处置、个别项目公司终结破产裁定书传递时效延迟等影响,公司对半年度业绩预告数据进行修正。法院已经于2025年5月10日及11日裁定批准公司及重庆金科的重整计划,根据重整计划约定,公司及重庆金科的大部分子公司股权将剥离至破产服务信托,用作清偿公司及重庆金科的普通债权,且移交完成后相关子公司将不再纳入合并报表范围。截至本报告披露日,管理人已经选定中信信托有限责任公司及中国工商银行股份有限公司重庆市分行分别为企业破产服务信托的受托人和保管银行,相关协议签署工作正在有序推进。",增亏,-0.72,2025-08-30
4,601058,赛轮轮胎,扣除非经常性损益后的净利润,"预计2025年1-6月扣除非经常性损益后的净利润盈利约:181,000万元,同比上年下降:12%左右,同比上年降低24,200万元左右。",1810000000.0,-12.0,"公司预计报告期净利润同比有所下降,主要原因是受到国际贸易壁垒、原材料价格及市场环境等因素影响,公司报告期毛利率同比有所下降。未来,公司将通过不断优化海外产能布局、加大高附加值产品推广力度等措施,以尽量减小相关因素对公司业绩的影响。",略减,2052000000.0,2025-08-19
5,601058,赛轮轮胎,归属于上市公司股东的净利润,"预计2025年1-6月归属于上市公司股东的净利润盈利约:183,000万元,同比上年下降:15%左右,同比上年降低32,100万元左右。",1830000000.0,-15.0,"公司预计报告期净利润同比有所下降,主要原因是受到国际贸易壁垒、原材料价格及市场环境等因素影响,公司报告期毛利率同比有所下降。未来,公司将通过不断优化海外产能布局、加大高附加值产品推广力度等措施,以尽量减小相关因素对公司业绩的影响。",略减,2151000000.0,2025-08-19
6,600760,中航沈飞,归属于上市公司股东的净利润,"预计2025年1-6月归属于上市公司股东的净利润盈利约:113,641.33万元,同比上年下降:29.78%左右。",1136413300.0,-29.78,"2025年半年度,受产品配套交付进度及产品结构调整影响,公司预计实现营业收入1,462,833.71万元左右,同比下降32.35%左右;归属于上市公司股东的净利润113,641.33万元左右,同比下降29.78%左右;归属于上市公司股东的扣除非经常性损益的净利润107,352.36万元左右,同比下降32.38%左右。面对复杂严峻的任务形势,公司将进一步聚焦战略高地、产品高值、供应高效,充分发挥“链主”优势,持续推动产业链拓展升级、强韧可控,加快形成体系化科研、快速化结构化新质化交付能力,加速建设一流航空装备企业。",略减,1618348252.7,2025-08-19
7,600760,中航沈飞,营业收入,"预计2025年1-6月营业收入约:1,462,833.71万元,同比上年下降:32.35%左右。",14628337100.0,-32.35,"2025年半年度,受产品配套交付进度及产品结构调整影响,公司预计实现营业收入1,462,833.71万元左右,同比下降32.35%左右;归属于上市公司股东的净利润113,641.33万元左右,同比下降29.78%左右;归属于上市公司股东的扣除非经常性损益的净利润107,352.36万元左右,同比下降32.38%左右。面对复杂严峻的任务形势,公司将进一步聚焦战略高地、产品高值、供应高效,充分发挥“链主”优势,持续推动产业链拓展升级、强韧可控,加快形成体系化科研、快速化结构化新质化交付能力,加速建设一流航空装备企业。",略减,21624693546.57,2025-08-19
8,600760,中航沈飞,扣除非经常性损益后的净利润,"预计2025年1-6月扣除非经常性损益后的净利润盈利约:107,352.36万元,同比上年下降:32.38%左右。",1073523600.0,-32.38,"2025年半年度,受产品配套交付进度及产品结构调整影响,公司预计实现营业收入1,462,833.71万元左右,同比下降32.35%左右;归属于上市公司股东的净利润113,641.33万元左右,同比下降29.78%左右;归属于上市公司股东的扣除非经常性损益的净利润107,352.36万元左右,同比下降32.38%左右。面对复杂严峻的任务形势,公司将进一步聚焦战略高地、产品高值、供应高效,充分发挥“链主”优势,持续推动产业链拓展升级、强韧可控,加快形成体系化科研、快速化结构化新质化交付能力,加速建设一流航空装备企业。",略减,1587650413.8,2025-08-19
9,600346,恒力石化,归属于上市公司股东的净利润,"预计2025年1-6月归属于上市公司股东的净利润盈利约:305,000万元,同比上年下降:24.09%左右,同比上年降低96,800万元左右。",3050000000.0,-24.09,"在宏观需求端,今年上半年国内石化的整体需求继续延续着去年下半年以来的偏弱复苏态势,尤其是芳烃和油品产业链的景气度同比去年上半年下行明显,烯烃、PTA和下游聚酯新材料产业链的景气度和盈利则维持相对稳定。在原油成本端,二季度国际油价因全球地缘和关税事件波动剧烈,对公司生产经营稳定和原料成本库存管控形成一定挑战。此外,公司在二季度对乙烯装置进行了计划检修,乙烯装置单季度负荷率下行,影响了烯烃产品的产量和单位成本水平。公司持续强化装置优化、灵活经营和风险管控,二季度经营业绩保持在行业领先水平。",略减,4017718100.0,2025-08-19
10,600346,恒力石化,扣除非经常性损益后的净利润,"预计2025年1-6月扣除非经常性损益后的净利润盈利约:229,600万元,同比上年下降:35.18%左右,同比上年降低124,600万元左右。",2296000000.0,-35.18,"在宏观需求端,今年上半年国内石化的整体需求继续延续着去年下半年以来的偏弱复苏态势,尤其是芳烃和油品产业链的景气度同比去年上半年下行明显,烯烃、PTA和下游聚酯新材料产业链的景气度和盈利则维持相对稳定。在原油成本端,二季度国际油价因全球地缘和关税事件波动剧烈,对公司生产经营稳定和原料成本库存管控形成一定挑战。此外,公司在二季度对乙烯装置进行了计划检修,乙烯装置单季度负荷率下行,影响了烯烃产品的产量和单位成本水平。公司持续强化装置优化、灵活经营和风险管控,二季度经营业绩保持在行业领先水平。",略减,3541960300.0,2025-08-19
