代码,名称,公告标题,公告类型,公告日期,网址
600530,ST交昂,交大昂立:关于收到要约收购报告书的提示性公告,其他,2025-01-13,https://data.eastmoney.com/notices/detail/600530/AN202501121641896376.html
A22073,华翔翔能,关于华翔翔能科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第四期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A22073/AN202507021701435786.html
A24062,科恩新能,关于苏州科恩新能科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第二期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A24062/AN202507021701435082.html
A25036,吉宝股份,关于浙江吉宝智能装备股份有限公司首次公开发行股票并上市辅导工作进展报告(第五期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A25036/AN202507021701434164.html
A21240,和泽医药,关于浙江和泽医药科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第五期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A21240/AN202507021701434282.html
A23015,苏环院,关于江苏环保产业技术研究院股份公司首次公开发行股票并上市辅导工作进展报告(第四期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A23015/AN202507021701434247.html
A15216,华龙讯达,关于深圳华龙讯达信息技术股份有限公司首次公开发行股票并上市辅导工作进展报告(第十二期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A15216/AN202502061642820924.html
688292,浩瀚深度,关于同意北京浩瀚深度信息技术股份有限公司向不特定对象发行可转换公司债券注册的批复,科创板再融资审核注册结果通知,2025-01-13,https://data.eastmoney.com/notices/detail/688292/AN202501261642562962.html
920065,千岸科技,关于深圳千岸科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第十二期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/920065/AN202501241642503201.html
A21071,酒仙网,关于酒仙网络科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第十期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A21071/AN202501211642384379.html
A22308,航天和兴,关于北京航天和兴科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第六期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A22308/AN202501211642384336.html
920177,恒道科技,关于浙江恒道科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第五期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/920177/AN202501171641958540.html
605300,佳禾食品,关于同意佳禾食品工业股份有限公司向特定对象发行股票注册的批复,沪主板再融资审核注册结果通知,2025-01-13,https://data.eastmoney.com/notices/detail/605300/AN202501161641951814.html
A23267,三友硅业,关于唐山三友硅业股份有限公司首次公开发行股票并上市辅导工作进展报告(第五期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A23267/AN202501161641943022.html
920191,瑞尔竞达,关于明光瑞尔竞达科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第一期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/920191/AN202501161641943017.html
A21122,华达通,关于惠州市华达通气体制造股份有限公司首次公开发行股票并上市辅导工作进展报告(第十一期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A21122/AN202501151641927523.html
920200,振宏股份,关于振宏重工(江苏)股份有限公司首次公开发行股票并上市辅导工作进展报告(第十期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/920200/AN202501151641927549.html
A22489,绿控传动,关于苏州绿控传动科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第四期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A22489/AN202501151641927491.html
A24080,睿健医疗,关于四川睿健医疗科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第一期),辅导工作进展报告,2025-01-13,https://data.eastmoney.com/notices/detail/A24080/AN202501141641911087.html
603120,肯特催化,国金证券股份有限公司关于肯特催化材料股份有限公司首次公开发行股票并在主板上市的上市保荐书,沪主板发行上市上市保荐书,2025-01-13,https://data.eastmoney.com/notices/detail/603120/AN202501131641909948.html
603120,肯特催化,国金证券股份有限公司关于肯特催化材料股份有限公司首次公开发行股票并在主板上市的发行保荐书,沪主板发行上市发行保荐书,2025-01-13,https://data.eastmoney.com/notices/detail/603120/AN202501131641909947.html
603120,肯特催化,上海市锦天城律师事务所关于肯特催化材料股份有限公司首次公开发行股票并在主板上市的法律意见书,沪主板发行上市法律意见书,2025-01-13,https://data.eastmoney.com/notices/detail/603120/AN202501131641909946.html
603120,肯特催化,立信会计师事务所(特殊普通合伙)关于肯特催化材料股份有限公司首次公开发行股票并在主板上市的财务报告及审计报告,沪主板发行上市审计报告,2025-01-13,https://data.eastmoney.com/notices/detail/603120/AN202501131641909949.html
002728,特一药业,特一药业:002728特一药业投资者关系管理信息20250113,调研活动,2025-01-13,https://data.eastmoney.com/notices/detail/002728/AN202501131641909761.html
603120,肯特催化,肯特催化材料股份有限公司主板首次公开发行股票招股说明书(注册稿),沪主板发行上市招股说明书注册稿,2025-01-13,https://data.eastmoney.com/notices/detail/603120/AN202501131641909876.html
300739,明阳电路,明阳电路:关于控股股东、实际控制人及其一致行动人股份变动比例超过1%的公告,股东/实际控制人股份减持,2025-01-13,https://data.eastmoney.com/notices/detail/300739/AN202501131641909536.html
000998,隆平高科,隆平高科:2025年1月13日投资者关系活动记录表,调研活动,2025-01-13,https://data.eastmoney.com/notices/detail/000998/AN202501131641909228.html
300700,岱勒新材,岱勒新材:关于持股5%以上股东减持计划实施完成暨权益变动的公告,权益变动报告书,2025-01-13,https://data.eastmoney.com/notices/detail/300700/AN202501131641909300.html
300074,华平股份,华平股份:中天国富证券有限公司关于华平信息技术股份有限公司详式权益变动报告书之财务顾问核查意见,权益变动报告书,2025-01-13,https://data.eastmoney.com/notices/detail/300074/AN202501131641909304.html
300074,华平股份,华平股份:简式权益变动报告书,权益变动报告书,2025-01-13,https://data.eastmoney.com/notices/detail/300074/AN202501131641909301.html
300074,华平股份,华平股份:详式权益变动报告书,权益变动报告书,2025-01-13,https://data.eastmoney.com/notices/detail/300074/AN202501131641909303.html
300074,华平股份,华平股份:关于控股股东上层股权结构调整暨实际控制人变更的提示性公告,股东/实际控制人变更,2025-01-13,https://data.eastmoney.com/notices/detail/300074/AN202501131641909302.html
301336,趣睡科技,趣睡科技:成都趣睡科技股份有限公司关于特定股东减持股份预披露公告,股东/实际控制人股份减持,2025-01-13,https://data.eastmoney.com/notices/detail/301336/AN202501131641908839.html
920193,吉和昌,武汉吉和昌新材料股份有限公司审核问询函,审查信息公开,2025-01-13,https://data.eastmoney.com/notices/detail/920193/AN202501131641908334.html
301286,侨源股份,侨源股份:中信建投证券股份有限公司关于四川侨源气体股份有限公司2024年度持续督导定期现场检查报告,保荐/核查意见,2025-01-13,https://data.eastmoney.com/notices/detail/301286/AN202501131641908277.html
300786,国林科技,国林科技:关于回购公司股份方案暨取得金融机构股票回购专项贷款承诺函的公告,借贷,2025-01-13,https://data.eastmoney.com/notices/detail/300786/AN202501131641908276.html
300786,国林科技,国林科技:第五届监事会第九次会议决议公告,监事会决议公告,2025-01-13,https://data.eastmoney.com/notices/detail/300786/AN202501131641908260.html
300786,国林科技,国林科技:第五届董事会第九次会议决议公告,董事会决议公告,2025-01-13,https://data.eastmoney.com/notices/detail/300786/AN202501131641908258.html
300651,金陵体育,金陵体育:国泰君安证券股份有限公司关于江苏金陵体育器材股份有限公司使用部分闲置募集资金购买理财产品的核查意见,保荐/核查意见,2025-01-13,https://data.eastmoney.com/notices/detail/300651/AN202501131641908024.html
300651,金陵体育,金陵体育:第七届监事会第二十次会议决议公告,监事会决议公告,2025-01-13,https://data.eastmoney.com/notices/detail/300651/AN202501131641908023.html
300651,金陵体育,金陵体育:关于使用部分闲置募集资金购买理财产品的公告,投资理财,2025-01-13,https://data.eastmoney.com/notices/detail/300651/AN202501131641908025.html
300651,金陵体育,金陵体育:第七届董事会第二十五次会议决议公告,董事会决议公告,2025-01-13,https://data.eastmoney.com/notices/detail/300651/AN202501131641908022.html
300644,南京聚隆,南京聚隆:关于以集中竞价交易方式回购公司股份方案暨取得金融机构股票回购专项贷款承诺函的公告,借贷,2025-01-13,https://data.eastmoney.com/notices/detail/300644/AN202501131641907977.html
300644,南京聚隆,南京聚隆:关于回购股份事项前十名股东和前十名无限售条件股东持股信息的公告,回购进展情况,2025-01-13,https://data.eastmoney.com/notices/detail/300644/AN202501131641907976.html
300644,南京聚隆,南京聚隆:第六届董事会第五次会议决议公告,董事会决议公告,2025-01-13,https://data.eastmoney.com/notices/detail/300644/AN202501131641907975.html
301290,东星医疗,东星医疗:北京市天元律师事务所关于江苏东星智慧医疗科技股份有限公司控股股东、实际控制人增持公司股份的法律意见,股东/实际控制人股份增持,2025-01-13,https://data.eastmoney.com/notices/detail/301290/AN202501131641907713.html
301290,东星医疗,东星医疗:关于稳定股价措施实施完毕暨增持结果的公告,股东/实际控制人股份增持,2025-01-13,https://data.eastmoney.com/notices/detail/301290/AN202501131641907712.html
301227,森鹰窗业,森鹰窗业:关于全资子公司完成工商登记的公告,公司关联方基本资料变更,2025-01-13,https://data.eastmoney.com/notices/detail/301227/AN202501131641907706.html
301227,森鹰窗业,森鹰窗业:关于取得金融机构股票回购贷款承诺函的公告,借贷,2025-01-13,https://data.eastmoney.com/notices/detail/301227/AN202501131641907709.html
002053,云南能投,云南能投:2025年1月13日投资者关系活动记录表,调研活动,2025-01-13,https://data.eastmoney.com/notices/detail/002053/AN202501131641907647.html
300984,金沃股份,金沃股份:简式权益变动报告书,权益变动报告书,2025-01-13,https://data.eastmoney.com/notices/detail/300984/AN202501131641907699.html
300984,金沃股份,金沃股份:关于合计持股5%以上股东权益变动的提示性公告,权益变动报告书,2025-01-13,https://data.eastmoney.com/notices/detail/300984/AN202501131641907695.html
300695,兆丰股份,兆丰股份:关于部分核心技术人员变动的公告,高管人员任职变动,2025-01-13,https://data.eastmoney.com/notices/detail/300695/AN202501131641907693.html
300695,兆丰股份,兆丰股份:关于选举产生第六届监事会职工代表监事的公告,高管人员任职变动,2025-01-13,https://data.eastmoney.com/notices/detail/300695/AN202501131641907696.html
300695,兆丰股份,兆丰股份:第六届监事会第一次会议决议公告,高管人员任职变动,2025-01-13,https://data.eastmoney.com/notices/detail/300695/AN202501131641907698.html
300695,兆丰股份,兆丰股份:2025年第一次临时股东大会法律意见书,法律意见书,2025-01-13,https://data.eastmoney.com/notices/detail/300695/AN202501131641907692.html
300695,兆丰股份,兆丰股份:第六届董事会第一次会议决议公告,高管人员任职变动,2025-01-13,https://data.eastmoney.com/notices/detail/300695/AN202501131641907694.html
300695,兆丰股份,兆丰股份:关于董事会、监事会完成换届选举及聘任高级管理人员、证券事务代表的公告,高管人员任职变动,2025-01-13,https://data.eastmoney.com/notices/detail/300695/AN202501131641907691.html
300695,兆丰股份,兆丰股份:2025年第一次临时股东大会决议公告,股东大会决议公告,2025-01-13,https://data.eastmoney.com/notices/detail/300695/AN202501131641907697.html
920394,民士达,民士达:2024年年度业绩预告公告,业绩预告,2025-01-13,https://data.eastmoney.com/notices/detail/920394/AN202501131641907678.html
300401,花园生物,花园生物:2024年度业绩预告,业绩预告,2025-01-13,https://data.eastmoney.com/notices/detail/300401/AN202501131641907669.html
300205,*ST天喻,ST天喻:关于涉及诉讼及被申请财产保全的进展公告,诉讼仲裁,2025-01-13,https://data.eastmoney.com/notices/detail/300205/AN202501131641907665.html
920634,新威凌,新威凌:持股5%以上股东权益变动超过1%的提示性公告,权益变动报告书,2025-01-13,https://data.eastmoney.com/notices/detail/920634/AN202501131641907538.html
