序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,600338,西藏珠峰,归属于上市公司股东的净利润,"预计2023年1-12月归属于上市公司股东的净利润亏损:17,914万元至22,871万元。",-203925000.0,-150.115,"本期业绩预亏主要在主营业务影响方面:1、2023年全资子公司塔中矿业实施了矿山管理模式调整,全面替换了采掘工程承包商,对采选产能造成一定影响;2、塔中矿业产销的精矿产品产量同比下降,且部分产品市场价格同比下降;3、公司的外币资产(美元和索莫尼)的汇率变动造成人民币贬值,产生较大汇兑损失并计入财务费用。",首亏,406910300.0,2024-04-30
2,600338,西藏珠峰,扣除非经常性损益后的净利润,"预计2023年1-12月扣除非经常性损益后的净利润亏损:19,217万元至24,174万元。",-216955000.0,-147.67,"本期业绩预亏主要在主营业务影响方面:1、2023年全资子公司塔中矿业实施了矿山管理模式调整,全面替换了采掘工程承包商,对采选产能造成一定影响;2、塔中矿业产销的精矿产品产量同比下降,且部分产品市场价格同比下降;3、公司的外币资产(美元和索莫尼)的汇率变动造成人民币贬值,产生较大汇兑损失并计入财务费用。",首亏,455125200.0,2024-04-30
3,600172,黄河旋风,归属于上市公司股东的净利润,"预计2023年1-12月归属于上市公司股东的净利润亏损:79,849万元。",-798490000.0,-2690.91,"公司主营业务超硬材料产品的重要细分产品培育钻石,受市场供需变化等原因,2023年度价格较同期大幅下降,致使公司主营业务利润大幅下降。",首亏,30818900.0,2024-04-30
4,600172,黄河旋风,扣除非经常性损益后的净利润,"预计2023年1-12月扣除非经常性损益后的净利润亏损:80,072万元。",-800720000.0,-5182.16,"公司主营业务超硬材料产品的重要细分产品培育钻石,受市场供需变化等原因,2023年度价格较同期大幅下降,致使公司主营业务利润大幅下降。",首亏,15755500.0,2024-04-30
5,300419,ST浩丰,归属于上市公司股东的净利润,"预计2023年1-12月归属于上市公司股东的净利润亏损:16,180.3万元。",-161803000.0,-505.64,"2023年公司积极响应国家数字经济相关政策,面对客户在复杂管理需求下的综合解决方案交付能力的要求,公司不断完善高端咨询、系统实施及定制软件开发服务、系统及运维服务等交付体系建设,不断提升公司综合解决方案交付能力。公司根据战略转型方向进行业务布局调整,逐步收缩低毛利业务,努力提升高毛利业务占比,导致2023年度整体收入规模下降,净利润规模同步下降。",首亏,39888100.0,2024-04-30
6,300419,ST浩丰,扣除非经常性损益后的净利润,"预计2023年1-12月扣除非经常性损益后的净利润亏损:16,522.34万元。",-165223400.0,-618.4,"2023年公司积极响应国家数字经济相关政策,面对客户在复杂管理需求下的综合解决方案交付能力的要求,公司不断完善高端咨询、系统实施及定制软件开发服务、系统及运维服务等交付体系建设,不断提升公司综合解决方案交付能力。公司根据战略转型方向进行业务布局调整,逐步收缩低毛利业务,努力提升高毛利业务占比,导致2023年度整体收入规模下降,净利润规模同步下降。",首亏,31871600.0,2024-04-30
7,002586,ST围海,营业收入,"预计2023年1-12月营业收入:210,000万元至220,000万元。",2150000000.0,-16.015,"1、公司对分类以公允价值计量且其变动计入当期损益的金融资产资产情况进行梳理,该部分资产发生较大幅度变动,本年度确认公允价值变动收益约-2,800万元。2、公司对联营企业江西蓝都文化旅游发展有限公司的资产情况进行梳理,其经营发生较大亏损且资产发生较大幅度的减值,公司按持股比例确认投资收益约-1,000万元,同时依据预计可收回金额对其持有的长期股权投资计提减值准备约-2,600万元。以上事项导致归属于上市公司股东的净利润较2024年1月31业绩预告时减少-6,400万元。",略减,2560022400.0,2024-04-30
8,002586,ST围海,扣除非经常性损益后的净利润,"预计2023年1-12月扣除非经常性损益后的净利润亏损:8,800万元至11,800万元,同比上年增长:75.73%至81.9%。",-103000000.0,78.815,"1、公司对分类以公允价值计量且其变动计入当期损益的金融资产资产情况进行梳理,该部分资产发生较大幅度变动,本年度确认公允价值变动收益约-2,800万元。2、公司对联营企业江西蓝都文化旅游发展有限公司的资产情况进行梳理,其经营发生较大亏损且资产发生较大幅度的减值,公司按持股比例确认投资收益约-1,000万元,同时依据预计可收回金额对其持有的长期股权投资计提减值准备约-2,600万元。以上事项导致归属于上市公司股东的净利润较2024年1月31业绩预告时减少-6,400万元。",减亏,-486144400.0,2024-04-30
9,002586,ST围海,扣除后营业收入,"预计2023年1-12月扣除后营业收入:209,800万元至219,900万元。",2148500000.0,,"1、公司对分类以公允价值计量且其变动计入当期损益的金融资产资产情况进行梳理,该部分资产发生较大幅度变动,本年度确认公允价值变动收益约-2,800万元。2、公司对联营企业江西蓝都文化旅游发展有限公司的资产情况进行梳理,其经营发生较大亏损且资产发生较大幅度的减值,公司按持股比例确认投资收益约-1,000万元,同时依据预计可收回金额对其持有的长期股权投资计提减值准备约-2,600万元。以上事项导致归属于上市公司股东的净利润较2024年1月31业绩预告时减少-6,400万元。",略减,2558882400.0,2024-04-30
10,002586,ST围海,每股收益,预计2023年1-12月每股收益亏损:0.1049元至0.1311元。,-0.118,,"1、公司对分类以公允价值计量且其变动计入当期损益的金融资产资产情况进行梳理,该部分资产发生较大幅度变动,本年度确认公允价值变动收益约-2,800万元。2、公司对联营企业江西蓝都文化旅游发展有限公司的资产情况进行梳理,其经营发生较大亏损且资产发生较大幅度的减值,公司按持股比例确认投资收益约-1,000万元,同时依据预计可收回金额对其持有的长期股权投资计提减值准备约-2,600万元。以上事项导致归属于上市公司股东的净利润较2024年1月31业绩预告时减少-6,400万元。",减亏,-0.4344,2024-04-30
11,002586,ST围海,归属于上市公司股东的净利润,"预计2023年1-12月归属于上市公司股东的净利润亏损:12,000万元至15,000万元,同比上年增长:69.82%至75.86%。",-135000000.0,72.84,"1、公司对分类以公允价值计量且其变动计入当期损益的金融资产资产情况进行梳理,该部分资产发生较大幅度变动,本年度确认公允价值变动收益约-2,800万元。2、公司对联营企业江西蓝都文化旅游发展有限公司的资产情况进行梳理,其经营发生较大亏损且资产发生较大幅度的减值,公司按持股比例确认投资收益约-1,000万元,同时依据预计可收回金额对其持有的长期股权投资计提减值准备约-2,600万元。以上事项导致归属于上市公司股东的净利润较2024年1月31业绩预告时减少-6,400万元。",减亏,-497071400.0,2024-04-30
12,920436,大地电气,归属于上市公司股东的净利润,预计2023年1-12月归属于上市公司股东的净利润盈利:521.92万元。,5219200.0,121.72,"2023年,商用车市场企稳回升,实现恢复性增长,全年产销分别增长26.8%和22.1%,公司原有商用车客户订单大幅增加;同时公司加大市场开发力度,积极向乘用车、工程机械、农用机械领域拓展,并取得初步成效。公司预计实现营业总收入84,624.74万元,比上年增长72.50%。由于大宗商品价格仍处于高位,使得原材料成本较高,毛利率偏低,另外人工成本及管理、研发费用的也有所增加,导致净利润较低。",扭亏,-24026100.0,2024-04-29
13,603828,*ST利达,扣除非经常性损益后的净利润,"预计2023年1-12月扣除非经常性损益后的净利润亏损约:15,634.79万元。",-156347900.0,57.98,"1、2023年,面对复杂严峻的国内经济环境,公司坚持“深耕江苏,加速拓展全国”的市场策略,聚焦和强化主营业务发展,加强市场推广,积极承揽优质项目。公司收入规模较同期有所上升,同时通过有效控制,降低了项目成本。2、信用减值损失和资产减值损失减少,主要是公司加强了应收款项的风险管理,应收账款坏账准备和合同资产坏账准备减少。",减亏,-372067100.0,2024-04-29
