代码,名称,公告标题,公告类型,公告日期,网址
920023,*ST田野,田野股份:股票解除限售公告,限售股份上市流通,2024-06-11,https://data.eastmoney.com/notices/detail/920023/AN202406111635973956.html
300268,佳沃食品,ST佳沃:关于总经理辞职暨聘任总经理的公告,高管人员任职变动,2024-06-11,https://data.eastmoney.com/notices/detail/300268/AN202406111635969006.html
920180,爱得科技,关于苏州爱得科技发展股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2024-06-11,https://data.eastmoney.com/notices/detail/920180/AN202406251636851963.html
688027,国盾量子,关于对科大国盾量子技术股份有限公司时任监事张爱辉予以监管警示的决定,上交所股票监管关注,2024-06-11,https://data.eastmoney.com/notices/detail/688027/AN202406121636006829.html
000615,*ST美谷,深交所:*ST美谷_监管函,深交所股票监管函,2024-06-11,https://data.eastmoney.com/notices/detail/000615/AN202406121635989170.html
000615,*ST美谷,深交所:*ST美谷_监管函,深交所股票监管函,2024-06-11,https://data.eastmoney.com/notices/detail/000615/AN202406121635981355.html
688287,退市观典,关于观典防务技术股份有限公司的问询函,问询函,2024-06-11,https://data.eastmoney.com/notices/detail/688287/AN202406111635980315.html
002930,宏川智慧,宏川智慧:2024年6月11日投资者关系活动记录表,调研活动,2024-06-11,https://data.eastmoney.com/notices/detail/002930/AN202406111635979505.html
603322,超讯科技,关于超讯通信股份有限公司媒体报道等相关事项的监管工作函,上交所股票监管工作函,2024-06-11,https://data.eastmoney.com/notices/detail/603322/AN202406111635979797.html
301275,汉朔科技,8-3补充法律意见书(六)(汉朔科技股份有限公司),创业板IPO问询与回复,2024-06-11,https://data.eastmoney.com/notices/detail/301275/AN202406111635979853.html
301275,汉朔科技,8-2-3会计师事务所关于审核中心意见落实函的回复(汉朔科技股份有限公司),创业板IPO问询与回复,2024-06-11,https://data.eastmoney.com/notices/detail/301275/AN202406111635979854.html
301275,汉朔科技,发行人及保荐机构关于审核中心意见落实函的回复(汉朔科技股份有限公司),创业板IPO问询与回复,2024-06-11,https://data.eastmoney.com/notices/detail/301275/AN202406111635979852.html
002138,顺络电子,顺络电子:2024年6月11日投资者关系活动记录表,调研活动,2024-06-11,https://data.eastmoney.com/notices/detail/002138/AN202406111635979478.html
301667,纳百川,8-3补充法律意见书(二)(纳百川新能源股份有限公司),创业板IPO问询与回复,2024-06-11,https://data.eastmoney.com/notices/detail/301667/AN202406111635979438.html
301667,纳百川,8-2申报会计师关于第二轮审核问询函的回复(纳百川新能源股份有限公司),创业板IPO问询与回复,2024-06-11,https://data.eastmoney.com/notices/detail/301667/AN202406111635979436.html
301667,纳百川,发行人及保荐机构关于第二轮审核问询函的回复意见(纳百川新能源股份有限公司),创业板IPO问询与回复,2024-06-11,https://data.eastmoney.com/notices/detail/301667/AN202406111635979437.html
301559,中集环科,中集环科:2024年6月11日投资者关系活动记录表,调研活动,2024-06-11,https://data.eastmoney.com/notices/detail/301559/AN202406111635979069.html
A23224,尚水智能,关于终止对深圳市尚水智能股份有限公司首次公开发行股票并在科创板上市审核的决定,科创板发行上市审核终止审核通知,2024-06-11,https://data.eastmoney.com/notices/detail/A23224/AN202406111635977451.html
300508,维宏股份,维宏股份:关于公司控股股东、实际控制人增持公司股份的法律意见书,股东/实际控制人股份增持,2024-06-11,https://data.eastmoney.com/notices/detail/300508/AN202406111635978159.html
300508,维宏股份,维宏股份:关于控股股东、实际控制人之一、董事增股公司股份的公告,高管人员任职变动,2024-06-11,https://data.eastmoney.com/notices/detail/300508/AN202406111635978158.html
300331,苏大维格,苏大维格:关于董事会、监事会完成换届选举及聘任高级管理人员、证券事务代表的公告,高管人员任职变动,2024-06-11,https://data.eastmoney.com/notices/detail/300331/AN202406111635978060.html
300331,苏大维格,苏大维格:苏大维格2023年度股东大会法律意见书,法律意见书,2024-06-11,https://data.eastmoney.com/notices/detail/300331/AN202406111635978061.html
300331,苏大维格,苏大维格:第六届监事会第一次会议决议公告,高管人员任职变动,2024-06-11,https://data.eastmoney.com/notices/detail/300331/AN202406111635978059.html
