序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,001400,江顺科技,归属于上市公司股东的净利润,"预计2024年1-6月归属于上市公司股东的净利润盈利:7,700万元至8,000万元,同比上年增长:3.95%至8%。",78500000.0,5.975,,略增,74076400.0,2024-09-26
2,001400,江顺科技,扣除非经常性损益后的净利润,"预计2024年1-6月扣除非经常性损益后的净利润盈利:7,500万元至7,800万元,同比上年增长:6.32%至10.58%。",76500000.0,8.45,,略增,70539800.0,2024-09-26
3,001400,江顺科技,营业收入,"预计2024年1-6月营业收入:55,000万元至58,000万元,同比上年增长:13.55%至19.74%。",565000000.0,16.645,,略增,484364200.0,2024-09-26
4,001390,古麒绒材,归属于上市公司股东的净利润,"预计2024年1-6月归属于上市公司股东的净利润盈利:7,000万元至7,900万元,同比上年增长:31.71%至48.64%。",74500000.0,40.175,"2024年1-6月公司预测收入同比增长21.58%~38.95%,主要系市场需求情况较好,预计发行人销售数量、销售价格等有所增长;预测归属于母公司股东的净利润同比增长31.71%~48.64%,主要原因系营业收入有较大幅度增长。",略增,53148400.0,2024-09-26
5,001390,古麒绒材,净利润,"预计2024年1-6月净利润盈利:7,000万元至7,900万元,同比上年增长:31.71%至48.64%。",74500000.0,40.175,"2024年1-6月公司预测收入同比增长21.58%~38.95%,主要系市场需求情况较好,预计发行人销售数量、销售价格等有所增长;预测归属于母公司股东的净利润同比增长31.71%~48.64%,主要原因系营业收入有较大幅度增长。",略增,53148400.0,2024-09-26
6,001390,古麒绒材,扣除非经常性损益后的净利润,"预计2024年1-6月扣除非经常性损益后的净利润盈利:6,800万元至7,700万元,同比上年增长:28.39%至45.39%。",72500000.0,36.89,"2024年1-6月公司预测收入同比增长21.58%~38.95%,主要系市场需求情况较好,预计发行人销售数量、销售价格等有所增长;预测归属于母公司股东的净利润同比增长31.71%~48.64%,主要原因系营业收入有较大幅度增长。",略增,52961800.0,2024-09-26
7,001390,古麒绒材,营业收入,"预计2024年1-6月营业收入:42,000万元至48,000万元,同比上年增长:21.58%至38.95%。",450000000.0,30.265,"2024年1-6月公司预测收入同比增长21.58%~38.95%,主要系市场需求情况较好,预计发行人销售数量、销售价格等有所增长;预测归属于母公司股东的净利润同比增长31.71%~48.64%,主要原因系营业收入有较大幅度增长。",略增,345454300.0,2024-09-26
8,000656,金科股份,归属于上市公司股东的净利润,"预计2024年1-6月归属于上市公司股东的净利润亏损:380,103.09万元。",-3801030900.0,-95.96,"报告期内,公司归属于上市公司股东的净利润亏损主要原因如下:(一)受行业环境和公司自身经营状况影响,公司及公司所投资的房地产项目交付量减少,整体结转收入下降,从而导致利润下降;(二)公司存量房地产开发项目因逐步竣工等因素导致符合利息资本化的项目及对应的金额减少,相关有息负债利息费用化增加;(三)公司继续计提相应违约金等损失。",增亏,-1939746600.0,2024-08-31
9,000656,金科股份,扣除非经常性损益后的净利润,"预计2024年1-6月扣除非经常性损益后的净利润亏损:291,572.12万元。",-2915721200.0,-170.82,"报告期内,公司归属于上市公司股东的净利润亏损主要原因如下:(一)受行业环境和公司自身经营状况影响,公司及公司所投资的房地产项目交付量减少,整体结转收入下降,从而导致利润下降;(二)公司存量房地产开发项目因逐步竣工等因素导致符合利息资本化的项目及对应的金额减少,相关有息负债利息费用化增加;(三)公司继续计提相应违约金等损失。",增亏,-1076613400.0,2024-08-31
10,000656,金科股份,每股收益,预计2024年1-6月每股收益亏损:0.72元。,-0.72,,"报告期内,公司归属于上市公司股东的净利润亏损主要原因如下:(一)受行业环境和公司自身经营状况影响,公司及公司所投资的房地产项目交付量减少,整体结转收入下降,从而导致利润下降;(二)公司存量房地产开发项目因逐步竣工等因素导致符合利息资本化的项目及对应的金额减少,相关有息负债利息费用化增加;(三)公司继续计提相应违约金等损失。",增亏,-0.37,2024-08-31
