序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,920188,悦龙科技,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:2,800万元至3,200万元。",30000000.0,,"2025年1-3月上述指标较上年同期增长,主要原因系受益于下游需求不断释放,公司销售增长所致。",不确定,,2025-05-26
2,920188,悦龙科技,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:2,700万元至3,100万元。",29000000.0,,"2025年1-3月上述指标较上年同期增长,主要原因系受益于下游需求不断释放,公司销售增长所致。",不确定,,2025-05-26
3,920188,悦龙科技,营业收入,"预计2025年1-3月营业收入:6,500万元至8,000万元。",72500000.0,,"2025年1-3月上述指标较上年同期增长,主要原因系受益于下游需求不断释放,公司销售增长所致。",不确定,,2025-05-26
4,603014,威高血净,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:10,360万元至11,396万元,同比上年增长:3.12%至13.43%。",108780000.0,8.275,主要受益于公司销售收入的增长。,略增,100460000.0,2025-05-14
5,603014,威高血净,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:10,505万元至11,555万元,同比上年增长:0.89%至10.98%。",110300000.0,5.935,主要受益于公司销售收入的增长。,略增,104120000.0,2025-05-14
6,603014,威高血净,营业收入,"预计2025年1-3月营业收入:86,852万元至95,537万元,同比上年增长:3.18%至13.49%。",911945000.0,8.335,主要受益于公司销售收入的增长。,略增,841780000.0,2025-05-14
7,301595,太力科技,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:1,784.18万元至2,176.51万元,同比上年变动:-8.22%至11.96%。",19803450.0,1.87,"2025年第一季度,公司营业收入保持增长,主要是由于①渠道方面,跨境电商亚马逊、国内电商拼多多、京东平台持续增长;②新产品及新业务开拓,公司2024年4季度推出的防护用品正处于市场开拓期,公司2025年一季度与拼多多海外版Temu、希音、怡亚通等海外电商或供应链公司洽谈跨境运输包装业务取得进展,预计将为公司2025年带来新的业务增长点。公司预计净利润略有下滑至小幅增长,主要是由于①2025年第一季度预计收入小幅增长;②淘系、抖音渠道营收比重预计下降,整体推广费率将同比下降,使销售费用率同比下降;③2025年第一季度气温波动明显,全国尚未形成持续性大面积回暖,一定程度推迟了公司真空收纳袋销售旺季。",续盈,19440700.0,2025-05-14
8,301595,太力科技,营业收入,"预计2025年1-3月营业收入:25,161.66万元至27,361.66万元,同比上年增长:0.39%至9.16%。",262616600.0,4.775,"2025年第一季度,公司营业收入保持增长,主要是由于①渠道方面,跨境电商亚马逊、国内电商拼多多、京东平台持续增长;②新产品及新业务开拓,公司2024年4季度推出的防护用品正处于市场开拓期,公司2025年一季度与拼多多海外版Temu、希音、怡亚通等海外电商或供应链公司洽谈跨境运输包装业务取得进展,预计将为公司2025年带来新的业务增长点。公司预计净利润略有下滑至小幅增长,主要是由于①2025年第一季度预计收入小幅增长;②淘系、抖音渠道营收比重预计下降,整体推广费率将同比下降,使销售费用率同比下降;③2025年第一季度气温波动明显,全国尚未形成持续性大面积回暖,一定程度推迟了公司真空收纳袋销售旺季。",略增,250650800.0,2025-05-14
9,301595,太力科技,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:1,825.64万元至2,217.97万元,同比上年变动:-9.18%至10.34%。",20218050.0,0.58,"2025年第一季度,公司营业收入保持增长,主要是由于①渠道方面,跨境电商亚马逊、国内电商拼多多、京东平台持续增长;②新产品及新业务开拓,公司2024年4季度推出的防护用品正处于市场开拓期,公司2025年一季度与拼多多海外版Temu、希音、怡亚通等海外电商或供应链公司洽谈跨境运输包装业务取得进展,预计将为公司2025年带来新的业务增长点。公司预计净利润略有下滑至小幅增长,主要是由于①2025年第一季度预计收入小幅增长;②淘系、抖音渠道营收比重预计下降,整体推广费率将同比下降,使销售费用率同比下降;③2025年第一季度气温波动明显,全国尚未形成持续性大面积回暖,一定程度推迟了公司真空收纳袋销售旺季。",续盈,20100700.0,2025-05-14
10,688755,汉邦科技,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:790万元至1,360万元,同比上年增长:50.11%至158.41%。",10750000.0,104.26,"2025年随着宏观经济环境的复苏、生物医药投融资热度的逐步回暖,公司将进一步保持在分离纯化设备领域的竞争优势。公司预计2025年1-3月营业收入同比增长5.13%至17.53%。利润方面,2025年1-3月公司预计扣除非经常性损益后归属于母公司股东的净利润同比增长50.11%至158.41%,增长比例较高主要受益于公司销售收入增长以及去年同期基数较小。",预增,5262900.0,2025-05-13
11,688755,汉邦科技,营业收入,"预计2025年1-3月营业收入:14,490万元至16,200万元,同比上年增长:5.13%至17.53%。",153450000.0,11.33,"2025年随着宏观经济环境的复苏、生物医药投融资热度的逐步回暖,公司将进一步保持在分离纯化设备领域的竞争优势。公司预计2025年1-3月营业收入同比增长5.13%至17.53%。利润方面,2025年1-3月公司预计扣除非经常性损益后归属于母公司股东的净利润同比增长50.11%至158.41%,增长比例较高主要受益于公司销售收入增长以及去年同期基数较小。",略增,137835400.0,2025-05-13
12,688755,汉邦科技,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:840万元至1,410万元,同比上年增长:46.6%至146.08%。",11250000.0,96.34,"2025年随着宏观经济环境的复苏、生物医药投融资热度的逐步回暖,公司将进一步保持在分离纯化设备领域的竞争优势。公司预计2025年1-3月营业收入同比增长5.13%至17.53%。利润方面,2025年1-3月公司预计扣除非经常性损益后归属于母公司股东的净利润同比增长50.11%至158.41%,增长比例较高主要受益于公司销售收入增长以及去年同期基数较小。",预增,5729800.0,2025-05-13
13,920007,酉立智能,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:3,388.47万元至3,488.47万元,同比上年增长:23.88%至27.53%。",34384700.0,25.705,,略增,27353900.0,2025-05-09
14,920007,酉立智能,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:3,411.17万元至3,511.17万元,同比上年增长:20.62%至24.15%。",34611700.0,22.385,,略增,28280800.0,2025-05-09
15,920007,酉立智能,营业收入,"预计2025年1-3月营业收入:21,680.64万元至23,680.64万元,同比上年增长:17.31%至28.13%。",226806400.0,22.72,,略增,184814300.0,2025-05-09
16,301636,泽润新能,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:3,200万元至3,400万元,同比上年增长:11.57%至18.55%。",33000000.0,15.06,,略增,28680900.0,2025-05-07
17,301636,泽润新能,营业收入,"预计2025年1-3月营业收入:21,300万元至21,800万元,同比上年增长:14.49%至17.17%。",215500000.0,15.83,,略增,186047900.0,2025-05-07
18,301636,泽润新能,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:2,900万元至3,100万元,同比上年增长:3.35%至10.48%。",30000000.0,6.915,,略增,28059900.0,2025-05-07
19,920037,广信科技,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:3,500万元至4,500万元,同比上年增长:82.94%至135.2%。",40000000.0,109.07,下游市场需求的持续增长带动公司业绩增加。,预增,19132300.0,2025-04-29
20,920037,广信科技,营业收入,"预计2025年1-3月营业收入:16,000万元至18,000万元,同比上年增长:41.12%至58.76%。",170000000.0,49.94,下游市场需求的持续增长带动公司业绩增加。,预增,113375500.0,2025-04-29
21,920037,广信科技,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:3,300万元至4,300万元,同比上年增长:79.72%至134.19%。",38000000.0,106.955,下游市场需求的持续增长带动公司业绩增加。,预增,18361500.0,2025-04-29
22,920018,宏远股份,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:1,800万元至2,200万元,同比上年增长:84.21%至125.15%。",20000000.0,104.68,"2025年1-3月上述指标较上年同期增长主要系下游需求增加及公司产能扩大,公司业务规模扩大所致。",预增,9771200.0,2025-04-25
23,920018,宏远股份,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:2,300万元至2,800万元,同比上年增长:72.43%至109.92%。",25500000.0,91.175,"2025年1-3月上述指标较上年同期增长主要系下游需求增加及公司产能扩大,公司业务规模扩大所致。",预增,13338400.0,2025-04-25
24,920018,宏远股份,营业收入,"预计2025年1-3月营业收入:53,500万元至65,300万元,同比上年增长:35.37%至65.22%。",594000000.0,50.295,"2025年1-3月上述指标较上年同期增长主要系下游需求增加及公司产能扩大,公司业务规模扩大所致。",预增,395224400.0,2025-04-25
25,603406,天富龙,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润盈利:11,041.12万元至11,970.9万元,同比上年增长:3.24%至11.93%。",115060100.0,7.585,,略增,118236500.24,2025-04-25
26,603406,天富龙,营业收入,"预计2025年1-3月营业收入:81,964.65万元至90,592.51万元,同比上年增长:2.25%至13.01%。",862785800.0,7.63,,略增,829143550.23,2025-04-25
27,603406,天富龙,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润盈利:10,909.49万元至11,828.19万元,同比上年增长:3.1%至11.78%。",113688400.0,7.44,,略增,117755957.03,2025-04-25
28,688033,*ST天宜,扣除非经常性损益后的净利润,"预计2025年1-3月扣除非经常性损益后的净利润亏损:9,565.97万元,同比上年增长:29.79%,同比上年增长4,058.21万元。",-95659700.0,29.79,"报告期内,公司轨道交通业务收入规模较去年同期有所提升,此外,尽管公司光伏拉晶辅材业务受光伏行业逆周期影响逐渐减弱,但行业传导至业务端尚需一定时间,报告期内该板块业务收入规模尚未回暖至周期影响前规模。报告期内公司持续推行降本增效理念,财务费用也进一步降低。受上述因素影响,公司2025年第一季度总体收入规模较去年同期有所下降,但净利润预计同比减亏。",减亏,-136241900.0,2025-04-24
29,688033,*ST天宜,归属于上市公司股东的净利润,"预计2025年1-3月归属于上市公司股东的净利润亏损:8,842.18万元,同比上年增长:31.78%,同比上年增长4,118.74万元。",-88421800.0,31.78,"报告期内,公司轨道交通业务收入规模较去年同期有所提升,此外,尽管公司光伏拉晶辅材业务受光伏行业逆周期影响逐渐减弱,但行业传导至业务端尚需一定时间,报告期内该板块业务收入规模尚未回暖至周期影响前规模。报告期内公司持续推行降本增效理念,财务费用也进一步降低。受上述因素影响,公司2025年第一季度总体收入规模较去年同期有所下降,但净利润预计同比减亏。",减亏,-129609200.0,2025-04-24
