序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,688727,恒坤新材,归属于上市公司股东的净利润,"预计2025年1-9月归属于上市公司股东的净利润盈利:6,200万元至6,800万元,同比上年下降:2.92%至11.48%。",65000000.0,-7.2,,略减,70043900.0,2025-11-13
2,688727,恒坤新材,扣除非经常性损益后的净利润,"预计2025年1-9月扣除非经常性损益后的净利润盈利:4,900万元至5,500万元,同比上年下降:17.73%至26.7%。",52000000.0,-22.215,,略减,66851600.0,2025-11-13
3,688727,恒坤新材,营业收入,"预计2025年1-9月营业收入:44,000万元至50,000万元,同比上年增长:12.48%至27.82%。",470000000.0,20.15,,略增,391183800.0,2025-11-13
4,603092,德力佳,营业收入,"预计2025年1-9月营业收入:393,813.87万元至407,313.87万元,同比上年增长:61.39%至66.92%。",4005638700.0,64.155,"2025年1-9月,发行人预计经营业绩实现较快增长,主要受风电行业发展持续向好影响。2024年,我国风力发电招投标量为164.10GW,相比2023年同比增长90.15%,整体增长较快。由于风电项目建设需要一定的周期,当年度招投标量将于未来1-2年内转化成新增装机量,受2024年风电招投标量增加影响,发行人2025年1-9月业绩增长较快。",预增,2440105200.0,2025-11-03
5,603092,德力佳,扣除非经常性损益后的净利润,"预计2025年1-9月扣除非经常性损益后的净利润盈利:56,237.24万元至61,372.96万元,同比上年增长:48.63%至62.2%。",588051000.0,55.415,"2025年1-9月,发行人预计经营业绩实现较快增长,主要受风电行业发展持续向好影响。2024年,我国风力发电招投标量为164.10GW,相比2023年同比增长90.15%,整体增长较快。由于风电项目建设需要一定的周期,当年度招投标量将于未来1-2年内转化成新增装机量,受2024年风电招投标量增加影响,发行人2025年1-9月业绩增长较快。",预增,378377900.0,2025-11-03
6,603092,德力佳,净利润,"预计2025年1-9月净利润盈利:58,180.14万元至63,485.85万元,同比上年增长:52.37%至66.27%。",608329950.0,59.32,"2025年1-9月,发行人预计经营业绩实现较快增长,主要受风电行业发展持续向好影响。2024年,我国风力发电招投标量为164.10GW,相比2023年同比增长90.15%,整体增长较快。由于风电项目建设需要一定的周期,当年度招投标量将于未来1-2年内转化成新增装机量,受2024年风电招投标量增加影响,发行人2025年1-9月业绩增长较快。",预增,381822400.0,2025-11-03
7,920166,海圣医疗,归属于上市公司股东的净利润,"预计2025年1-9月归属于上市公司股东的净利润盈利约:5,878.2万元,同比上年增长:26.7%左右。",58782000.0,26.7,,略增,46393300.0,2025-10-31
8,920166,海圣医疗,营业收入,"预计2025年1-9月营业收入约:24,771.39万元,同比上年增长:19.89%左右。",247713900.0,19.89,,略增,206619300.0,2025-10-31
9,920166,海圣医疗,扣除非经常性损益后的净利润,"预计2025年1-9月扣除非经常性损益后的净利润盈利约:5,684.5万元,同比上年增长:22.49%左右。",56845000.0,22.49,,略增,46408300.0,2025-10-31
10,603334,丰倍生物,归属于上市公司股东的净利润,"预计2025年1-9月归属于上市公司股东的净利润盈利:10,600万元至11,600万元,同比上年增长:22.29%至33.82%。",111000000.0,28.055,"受益于公司主要产品的持续开拓及生物柴油和生物航煤等下游市场需求的快速增长,公司预计2025年1-9月营业收入较上年同期有所增长,归属于母公司股东的净利润、扣除非经常性损益后归属于母公司股东的净利润均同比上升,盈利能力得到提升。",略增,86681200.0,2025-10-31
11,603334,丰倍生物,扣除非经常性损益后的净利润,"预计2025年1-9月扣除非经常性损益后的净利润盈利:10,500万元至11,500万元,同比上年增长:33.8%至46.55%。",110000000.0,40.175,"受益于公司主要产品的持续开拓及生物柴油和生物航煤等下游市场需求的快速增长,公司预计2025年1-9月营业收入较上年同期有所增长,归属于母公司股东的净利润、扣除非经常性损益后归属于母公司股东的净利润均同比上升,盈利能力得到提升。",略增,78474000.0,2025-10-31
12,603334,丰倍生物,营业收入,"预计2025年1-9月营业收入:210,000万元至230,000万元,同比上年增长:51.4%至65.82%。",2200000000.0,58.61,"受益于公司主要产品的持续开拓及生物柴油和生物航煤等下游市场需求的快速增长,公司预计2025年1-9月营业收入较上年同期有所增长,归属于母公司股东的净利润、扣除非经常性损益后归属于母公司股东的净利润均同比上升,盈利能力得到提升。",预增,1387043700.0,2025-10-31
13,920160,北矿检测,归属于上市公司股东的净利润,"预计2025年1-9月归属于上市公司股东的净利润盈利:5,800万元至6,400万元,同比上年增长:25.08%至38.02%。",61000000.0,31.55,"结合公司经营计划、财务预算、经营状况等因素,公司预计2025年1-9月营业收入约为13,400.00万元至13,900.00万元,同比增长幅度约为26.87%至31.61%;归属于母公司所有者的净利润约为5,800.00万元至6,400.00万元,同比增长幅度约为25.08%至38.02%;归属于母公司所有者的扣除非经常性损益后的净利润约为5,740.00万元至6,340.00万元,同比增长幅度约为34.78%至48.87%。",略增,46369400.0,2025-10-30
14,920160,北矿检测,扣除非经常性损益后的净利润,"预计2025年1-9月扣除非经常性损益后的净利润盈利:5,740万元至6,340万元,同比上年增长:34.78%至48.87%。",60400000.0,41.825,"结合公司经营计划、财务预算、经营状况等因素,公司预计2025年1-9月营业收入约为13,400.00万元至13,900.00万元,同比增长幅度约为26.87%至31.61%;归属于母公司所有者的净利润约为5,800.00万元至6,400.00万元,同比增长幅度约为25.08%至38.02%;归属于母公司所有者的扣除非经常性损益后的净利润约为5,740.00万元至6,340.00万元,同比增长幅度约为34.78%至48.87%。",略增,42588700.0,2025-10-30
15,920160,北矿检测,营业收入,"预计2025年1-9月营业收入:13,400万元至13,900万元,同比上年增长:26.87%至31.61%。",136500000.0,29.24,"结合公司经营计划、财务预算、经营状况等因素,公司预计2025年1-9月营业收入约为13,400.00万元至13,900.00万元,同比增长幅度约为26.87%至31.61%;归属于母公司所有者的净利润约为5,800.00万元至6,400.00万元,同比增长幅度约为25.08%至38.02%;归属于母公司所有者的扣除非经常性损益后的净利润约为5,740.00万元至6,340.00万元,同比增长幅度约为34.78%至48.87%。",略增,105616500.0,2025-10-30
16,688795,摩尔线程,归属于上市公司股东的净利润,"预计2025年1-9月归属于上市公司股东的净利润亏损:69,900万元至73,300万元,同比上年增长:17.64%至21.46%。",-716000000.0,19.55,"2025年,受人工智能蓬勃发展及国产化进程加速的背景影响,公司业绩呈现上升趋势,营业收入快速增加,公司亏损规模有所收窄。公司预计2025年1-9月营业收入为73,500.00万元至78,600.00万元,较2024年同期增长164.17%至182.50%;预计扣除非经常性损益后归属于母公司股东净利润为-79,000.00万元至-75,600.00万元。",减亏,-890039200.0,2025-10-30
17,688795,摩尔线程,扣除非经常性损益后的净利润,"预计2025年1-9月扣除非经常性损益后的净利润亏损:75,600万元至79,000万元,同比上年增长:12.32%至16.09%。",-773000000.0,14.205,"2025年,受人工智能蓬勃发展及国产化进程加速的背景影响,公司业绩呈现上升趋势,营业收入快速增加,公司亏损规模有所收窄。公司预计2025年1-9月营业收入为73,500.00万元至78,600.00万元,较2024年同期增长164.17%至182.50%;预计扣除非经常性损益后归属于母公司股东净利润为-79,000.00万元至-75,600.00万元。",减亏,-900973200.0,2025-10-30
18,688795,摩尔线程,营业收入,"预计2025年1-9月营业收入:73,500万元至78,600万元,同比上年增长:164.17%至182.5%。",760500000.0,173.335,"2025年,受人工智能蓬勃发展及国产化进程加速的背景影响,公司业绩呈现上升趋势,营业收入快速增加,公司亏损规模有所收窄。公司预计2025年1-9月营业收入为73,500.00万元至78,600.00万元,较2024年同期增长164.17%至182.50%;预计扣除非经常性损益后归属于母公司股东净利润为-79,000.00万元至-75,600.00万元。",预增,278232300.0,2025-10-30
19,603376,大明电子,归属于上市公司股东的净利润,"预计2025年1-9月归属于上市公司股东的净利润盈利:20,315.21万元,同比上年增长:5.68%。",203152100.0,5.68,"基于发行人目前的经营状况、市场环境及在手订单等情况,经初步测算,预计公司2025年1-9月可实现营业收入214,735.08万元,较上年同期增长19.73%;预计可实现归属于母公司股东的净利润20,315.21万元,较上年度同期增长5.68%;预计扣除非经常性损益后归属于母公司股东的净利润20,085.65万元,较上年度同期增长5.43%。公司与下游客户合作稳定,业务模式成熟,预计2025年1-9月经营业绩将保持稳中有升。",略增,192226700.0,2025-10-30
20,603376,大明电子,扣除非经常性损益后的净利润,"预计2025年1-9月扣除非经常性损益后的净利润盈利:20,085.65万元,同比上年增长:5.43%。",200856500.0,5.43,"基于发行人目前的经营状况、市场环境及在手订单等情况,经初步测算,预计公司2025年1-9月可实现营业收入214,735.08万元,较上年同期增长19.73%;预计可实现归属于母公司股东的净利润20,315.21万元,较上年度同期增长5.68%;预计扣除非经常性损益后归属于母公司股东的净利润20,085.65万元,较上年度同期增长5.43%。公司与下游客户合作稳定,业务模式成熟,预计2025年1-9月经营业绩将保持稳中有升。",略增,190515400.0,2025-10-30
