序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,001237,惠康科技,归属于上市公司股东的净利润,"预计2026年1-3月归属于上市公司股东的净利润盈利:8,270万元至8,790万元,同比上年增长:3.31%至9.8%。",85300000.0,6.555,,略增,80052800.0,2026-05-19
2,001237,惠康科技,扣除非经常性损益后的净利润,"预计2026年1-3月扣除非经常性损益后的净利润盈利:7,863万元至8,350万元,同比上年增长:6.48%至13.08%。",81065000.0,9.78,,略增,73841900.0,2026-05-19
3,001237,惠康科技,营业收入,"预计2026年1-3月营业收入:58,400万元至62,000万元,同比上年增长:9.77%至16.53%。",602000000.0,13.15,,略增,532033400.0,2026-05-19
4,001365,天海电子,净利润,"预计2026年1-3月净利润盈利:10,650万元至11,500万元,同比上年增长:0.02%至8%。",110750000.0,4.01,,略增,106478800.0,2026-05-13
5,001365,天海电子,营业收入,"预计2026年1-3月营业收入:330,000万元至350,000万元,同比上年增长:7.77%至14.3%。",3400000000.0,11.035,,略增,3062031900.0,2026-05-13
6,001365,天海电子,归属于上市公司股东的净利润,"预计2026年1-3月归属于上市公司股东的净利润盈利:9,850万元至11,000万元,同比上年变动:-4.04%至7.16%。",104250000.0,1.56,,续盈,102649400.0,2026-05-13
7,001365,天海电子,扣除非经常性损益后的净利润,"预计2026年1-3月扣除非经常性损益后的净利润盈利:8,750万元至9,900万元,同比上年变动:-8.74%至3.26%。",93250000.0,-2.74,,续盈,95877500.0,2026-05-13
8,001393,维通利,扣除非经常性损益后的净利润,"预计2026年1-3月扣除非经常性损益后的净利润盈利:4,520万元至5,020万元,同比上年下降:6.37%至15.7%。",47700000.0,-11.035,"比亚迪大规模使用国产同步分解器前,国内同步分解器供应商以多摩川、美蓓亚等外资品牌为主,国产同步分解器供应商引入前期,产品定价主要参考外资品牌,定价较高,致使2025年1-3月公司同步分解器产品平均售价相对较高,毛利率在50%以上。随着市场竞争加剧、红利期逐渐消退以及价格透明化,2025年下半年以来,同步分解器产品平均售价有所下降。2026年1-3月,受同步分解器产品平均销售单价和毛利率低于上年同期的影响,公司预计归母净利润及扣非后归母净利润较上年同期均有所下降;剔除同步分解器产品的影响后,2026年1-3月,公司预计归母净利润和扣非后归母净利润较上年同期均实现增长。截至2026年3月31日,公司在手订单金额(含税)为100,242.51万元,较2025年末增加38.96%,公司整体经营情况良好。",略减,53615900.0,2026-05-12
9,001393,维通利,归属于上市公司股东的净利润,"预计2026年1-3月归属于上市公司股东的净利润盈利:4,600万元至5,100万元,同比上年下降:6.86%至15.99%。",48500000.0,-11.425,"比亚迪大规模使用国产同步分解器前,国内同步分解器供应商以多摩川、美蓓亚等外资品牌为主,国产同步分解器供应商引入前期,产品定价主要参考外资品牌,定价较高,致使2025年1-3月公司同步分解器产品平均售价相对较高,毛利率在50%以上。随着市场竞争加剧、红利期逐渐消退以及价格透明化,2025年下半年以来,同步分解器产品平均售价有所下降。2026年1-3月,受同步分解器产品平均销售单价和毛利率低于上年同期的影响,公司预计归母净利润及扣非后归母净利润较上年同期均有所下降;剔除同步分解器产品的影响后,2026年1-3月,公司预计归母净利润和扣非后归母净利润较上年同期均实现增长。截至2026年3月31日,公司在手订单金额(含税)为100,242.51万元,较2025年末增加38.96%,公司整体经营情况良好。",略减,54754800.0,2026-05-12
10,001393,维通利,营业收入,"预计2026年1-3月营业收入:66,000万元至71,000万元,同比上年增长:9.43%至17.71%。",685000000.0,13.57,"比亚迪大规模使用国产同步分解器前,国内同步分解器供应商以多摩川、美蓓亚等外资品牌为主,国产同步分解器供应商引入前期,产品定价主要参考外资品牌,定价较高,致使2025年1-3月公司同步分解器产品平均售价相对较高,毛利率在50%以上。随着市场竞争加剧、红利期逐渐消退以及价格透明化,2025年下半年以来,同步分解器产品平均售价有所下降。2026年1-3月,受同步分解器产品平均销售单价和毛利率低于上年同期的影响,公司预计归母净利润及扣非后归母净利润较上年同期均有所下降;剔除同步分解器产品的影响后,2026年1-3月,公司预计归母净利润和扣非后归母净利润较上年同期均实现增长。截至2026年3月31日,公司在手订单金额(含税)为100,242.51万元,较2025年末增加38.96%,公司整体经营情况良好。",略增,603151800.0,2026-05-12
11,920258,聚仁新材,扣除非经常性损益后的净利润,"预计2026年1-3月扣除非经常性损益后的净利润盈利:4,050万元至4,950万元,同比上年增长:38.01%至68.78%。",45000000.0,53.395,"受益于下游市场需求持续增长及春节前备货等因素,公司2026年1-3月业绩呈现增长趋势。",预增,29327100.0,2026-04-30
12,920258,聚仁新材,营业收入,"预计2026年1-3月营业收入:19,000万元至23,000万元,同比上年增长:29.93%至50.03%。",210000000.0,39.98,"受益于下游市场需求持续增长及春节前备货等因素,公司2026年1-3月业绩呈现增长趋势。",预增,153300900.0,2026-04-30
13,920258,聚仁新材,归属于上市公司股东的净利润,"预计2026年1-3月归属于上市公司股东的净利润盈利:4,100万元至5,000万元,同比上年增长:37.66%至67.87%。",45500000.0,52.765,"受益于下游市场需求持续增长及春节前备货等因素,公司2026年1-3月业绩呈现增长趋势。",预增,29784500.0,2026-04-30
14,920136,永励精密,归属于上市公司股东的净利润,"预计2026年1-3月归属于上市公司股东的净利润盈利:2,217.71万元至2,440.6万元,同比上年下降:8.8%至17.13%。",23291550.0,-12.965,"根据中国汽车工业协会的统计计算,2026年1至2月,我国乘用车产量较去年同期下滑12%,主要系受2026年1月1日起新能源汽车购置税政策切换调整,部分消费需求在2025年底提前释放以及同期基数较高等多重因素叠加影响所致。除前述行业变化因素之外,公司主要客户比亚迪的2026年1至2月产量同比也出现一定程度下滑,因此公司预计2026年1-3月营业收入同比变动幅度约为-11.56%至-7.56%,归属于母公司所有者的扣除非经常性损益后的净利润同比变动幅度约为-16.42%至-8.02%。随着2026年3月比亚迪发布多款新技术新车型,以及根据比亚迪在2026年2月末向公司提供的月度预示更新情况,比亚迪2026年3月至4月的需求情况已恢复至去年同期发货金额水平。",略减,26762400.0,2026-04-30
15,920136,永励精密,营业收入,"预计2026年1-3月营业收入:11,782.8万元至12,315.69万元,同比上年下降:7.56%至11.56%。",120492450.0,-9.56,"根据中国汽车工业协会的统计计算,2026年1至2月,我国乘用车产量较去年同期下滑12%,主要系受2026年1月1日起新能源汽车购置税政策切换调整,部分消费需求在2025年底提前释放以及同期基数较高等多重因素叠加影响所致。除前述行业变化因素之外,公司主要客户比亚迪的2026年1至2月产量同比也出现一定程度下滑,因此公司预计2026年1-3月营业收入同比变动幅度约为-11.56%至-7.56%,归属于母公司所有者的扣除非经常性损益后的净利润同比变动幅度约为-16.42%至-8.02%。随着2026年3月比亚迪发布多款新技术新车型,以及根据比亚迪在2026年2月末向公司提供的月度预示更新情况,比亚迪2026年3月至4月的需求情况已恢复至去年同期发货金额水平。",略减,133223100.0,2026-04-30
16,920136,永励精密,扣除非经常性损益后的净利润,"预计2026年1-3月扣除非经常性损益后的净利润盈利:2,201.77万元至2,423.05万元,同比上年下降:8.02%至16.42%。",23124100.0,-12.22,"根据中国汽车工业协会的统计计算,2026年1至2月,我国乘用车产量较去年同期下滑12%,主要系受2026年1月1日起新能源汽车购置税政策切换调整,部分消费需求在2025年底提前释放以及同期基数较高等多重因素叠加影响所致。除前述行业变化因素之外,公司主要客户比亚迪的2026年1至2月产量同比也出现一定程度下滑,因此公司预计2026年1-3月营业收入同比变动幅度约为-11.56%至-7.56%,归属于母公司所有者的扣除非经常性损益后的净利润同比变动幅度约为-16.42%至-8.02%。随着2026年3月比亚迪发布多款新技术新车型,以及根据比亚迪在2026年2月末向公司提供的月度预示更新情况,比亚迪2026年3月至4月的需求情况已恢复至去年同期发货金额水平。",略减,26342500.0,2026-04-30
