代码,名称,公告标题,公告类型,公告日期,网址
300125,聆达股份,*ST聆达:第六届董事会第二十九次会议决议公告,董事会决议公告,2025-10-17,https://data.eastmoney.com/notices/detail/300125/AN202510161763294995.html
688802,沐曦股份,华泰联合证券有限责任公司关于沐曦集成电路(上海)股份有限公司首次公开发行股票并在科创板上市之发行保荐书(上会稿)(沐曦集成电路(上海)股份有限公司),科创板发行上市发行保荐书,2025-10-17,https://data.eastmoney.com/notices/detail/688802/AN202510171764025022.html
688802,沐曦股份,上海证券交易所上市审核委员会2025年第46次审议会议公告,沪主板发行上市审核上市委会议公告,2025-10-17,https://data.eastmoney.com/notices/detail/688802/AN202510171764025016.html
688802,沐曦股份,沐曦集成电路(上海)股份有限公司科创板首次公开发行股票招股说明书(上会稿),科创板发行上市招股说明书上会稿,2025-10-17,https://data.eastmoney.com/notices/detail/688802/AN202510171764025015.html
920039,国义招标,国义招标:第六届董事会第十三次会议决议公告,高管人员任职变动,2025-10-17,https://data.eastmoney.com/notices/detail/920039/AN202510171763876983.html
920445,龙竹科技,龙竹科技:关于认定核心员工的公告,获得认证,2025-10-17,https://data.eastmoney.com/notices/detail/920445/AN202510171763894021.html
920593,鼎智科技,鼎智科技:委托理财进展的公告,委托（受托）事项,2025-10-17,https://data.eastmoney.com/notices/detail/920593/AN202510171763887207.html
A21265,天擎天拓,关于上海天擎天拓信息技术股份有限公司首次公开发行股票并上市辅导工作进展报告(第十六期),辅导工作进展报告,2025-10-17,https://data.eastmoney.com/notices/detail/A21265/AN202510171763817956.html
A18038,景兴健护,关于广东景兴健康护理实业股份有限公司首次公开发行股票并上市辅导工作进展报告(第十六期),辅导工作进展报告,2025-10-17,https://data.eastmoney.com/notices/detail/A18038/AN202510181764051850.html
A23268,优邦科技,关于东莞优邦材料科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第一期),辅导工作进展报告,2025-10-17,https://data.eastmoney.com/notices/detail/A23268/AN202510181764051839.html
A25103,宏瑞股份,关于广东宏瑞能源科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第三期),辅导工作进展报告,2025-10-17,https://data.eastmoney.com/notices/detail/A25103/AN202510181764051856.html
A21115,飞旋科技,关于天津飞旋科技股份有限公司首次公开发行股票并上市辅导工作进展报告(第十一期),辅导工作进展报告,2025-10-17,https://data.eastmoney.com/notices/detail/A21115/AN202510181764051864.html
688802,沐曦股份,华泰联合证券有限责任公司关于沐曦集成电路(上海)股份有限公司首次公开发行股票并在科创板上市之上市保荐书(上会稿)(沐曦集成电路(上海)股份有限公司),科创板发行上市上市保荐书,2025-10-17,https://data.eastmoney.com/notices/detail/688802/AN202510171764025020.html
688802,沐曦股份,立信会计师事务所(特殊普通合伙)关于沐曦集成电路(上海)股份有限公司首次公开发行股票并在科创板上市的财务报告及审计报告(上会稿)(沐曦集成电路(上海)股份有限公司),科创板发行上市审计报告,2025-10-17,https://data.eastmoney.com/notices/detail/688802/AN202510171764025023.html
688802,沐曦股份,上海市锦天城律师事务所关于沐曦集成电路(上海)股份有限公司首次公开发行股票并在科创板上市的法律意见书(上会稿)(沐曦集成电路(上海)股份有限公司),科创板发行上市法律意见书,2025-10-17,https://data.eastmoney.com/notices/detail/688802/AN202510171764025024.html
688802,沐曦股份,8-1-3发行人及中介机构关于审核中心意见落实函的回复(沐曦集成电路(上海)股份有限公司),科创板发行上市问询与回复,2025-10-17,https://data.eastmoney.com/notices/detail/688802/AN202510171764025017.html
300476,胜宏科技,胜宏科技:300476胜宏科技投资者关系管理信息20251017,调研活动,2025-10-17,https://data.eastmoney.com/notices/detail/300476/AN202510171764013366.html
688785,恒运昌,8-1发行人及中介机构关于首轮审核问询函的回复(深圳市恒运昌真空技术股份有限公司),科创板发行上市问询与回复,2025-10-17,https://data.eastmoney.com/notices/detail/688785/AN202510171764003194.html
920571,国航远洋,北证发〔2025〕57号-关于终止对福建国航远洋运输(集团)股份有限公司向特定对象发行股票审核的决定,北交所终止审核公告,2025-10-17,https://data.eastmoney.com/notices/detail/920571/AN202510171764001579.html
300967,晓鸣股份,晓鸣股份:300967晓鸣股份投资者关系管理信息20251017,调研活动,2025-10-17,https://data.eastmoney.com/notices/detail/300967/AN202510171763977793.html
920050,爱伦医疗,北京证券交易所上市委员会2025年第26次审议会议公告,北交所上市审核会议公告,2025-10-17,https://data.eastmoney.com/notices/detail/920050/AN202510171763971487.html
301023,奕帆传动,江南奕帆:2025年半年度权益分派实施公告,分配方案实施,2025-10-17,https://data.eastmoney.com/notices/detail/301023/AN202510171763971501.html
920050,爱舍伦,爱舍伦:最近三年及一期的财务报告和审计报告(上会稿),北交所发行上市审计报告,2025-10-17,https://data.eastmoney.com/notices/detail/920050/AN202510171763971483.html
920050,爱舍伦,爱舍伦:上市保荐书(上会稿),北交所发行上市上市保荐书,2025-10-17,https://data.eastmoney.com/notices/detail/920050/AN202510171763971486.html
920050,爱舍伦,爱舍伦:发行保荐书(上会稿),北交所发行上市发行保荐书,2025-10-17,https://data.eastmoney.com/notices/detail/920050/AN202510171763971485.html
920050,爱舍伦,爱舍伦:招股说明书(上会稿),北交所发行上市招股说明书上会稿,2025-10-17,https://data.eastmoney.com/notices/detail/920050/AN202510171763971484.html
920050,爱舍伦,爱舍伦:法律意见书(上会稿),北交所发行上市法律意见书,2025-10-17,https://data.eastmoney.com/notices/detail/920050/AN202510171763971482.html
300773,拉卡拉,拉卡拉:关于向香港联交所递交境外上市股份(H股)发行与上市申请并刊发申请资料的公告,其他,2025-10-17,https://data.eastmoney.com/notices/detail/300773/AN202510171763961436.html
300471,厚普股份,厚普股份:2024年度向特定对象发行股票上市公告书,增发上市公告书,2025-10-17,https://data.eastmoney.com/notices/detail/300471/AN202510171763961419.html
300471,厚普股份,厚普股份:2024年度向特定对象发行股票之上市保荐书,上市保荐书,2025-10-17,https://data.eastmoney.com/notices/detail/300471/AN202510171763961422.html
300471,厚普股份,厚普股份:关于向特定对象发行股票上市公告书披露的提示性公告,增发提示性公告,2025-10-17,https://data.eastmoney.com/notices/detail/300471/AN202510171763961420.html
300471,厚普股份,厚普股份:关于董事和高级管理人员持股情况变动的报告,高管人员持股变动,2025-10-17,https://data.eastmoney.com/notices/detail/300471/AN202510171763961421.html
300532,今天国际,今天国际:关于增加经营范围及修订公司章程的公告,公司经营范围变更,2025-10-17,https://data.eastmoney.com/notices/detail/300532/AN202510171763953108.html
300532,今天国际,今天国际:关于变更2025年第二次临时股东会部分议案暨股东会召开的补充通知,召开股东大会通知,2025-10-17,https://data.eastmoney.com/notices/detail/300532/AN202510171763953109.html
300532,今天国际,今天国际:第五届监事会第十五次会议决议公告,监事会决议公告,2025-10-17,https://data.eastmoney.com/notices/detail/300532/AN202510171763953110.html
300532,今天国际,今天国际:公司章程(2025年10月修订),公司章程修订,2025-10-17,https://data.eastmoney.com/notices/detail/300532/AN202510171763953111.html
300532,今天国际,今天国际:第五届董事会第十八次会议决议公告,董事会决议公告,2025-10-17,https://data.eastmoney.com/notices/detail/300532/AN202510171763953112.html
003033,征和工业,征和工业:2025年10月17日投资者关系活动记录表,调研活动,2025-10-17,https://data.eastmoney.com/notices/detail/003033/AN202510171763955312.html
300815,玉禾田,6-1发行人最近三年的财务报告及其审计报告以及最近一期的财务报告(申报稿)(玉禾田环境发展集团股份有限公司),创业板再融资审计报告申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/300815/AN202510171763950607.html
002048,宁波华翔,6-1发行人最近一年的财务报告及其审计报告以及最近一期的财务报告(申报稿)(宁波华翔电子股份有限公司),深主板再融资审计报告,2025-10-17,https://data.eastmoney.com/notices/detail/002048/AN202510171763950611.html
300815,玉禾田,1-1募集说明书(申报稿)(玉禾田环境发展集团股份有限公司),创业板再融资募集说明书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/300815/AN202510171763950599.html
002048,宁波华翔,1-1募集说明书(申报稿)(宁波华翔电子股份有限公司),深主板再融资募集说明书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/002048/AN202510171763950608.html
301488,豪恩汽电,6-1发行人最近一年的财务报告及其审计报告以及最近一期的财务报告(申报稿)(深圳市豪恩汽车电子装备股份有限公司),创业板再融资审计报告申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/301488/AN202510171763950598.html
301488,豪恩汽电,1-1募集说明书(申报稿)(深圳市豪恩汽车电子装备股份有限公司),创业板再融资募集说明书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/301488/AN202510171763950604.html
002048,宁波华翔,3-1证券发行保荐书(申报稿)(宁波华翔电子股份有限公司),深主板再融资发行保荐书,2025-10-17,https://data.eastmoney.com/notices/detail/002048/AN202510171763950603.html
002048,宁波华翔,4-1法律意见书(申报稿)(宁波华翔电子股份有限公司),深主板再融资法律意见书,2025-10-17,https://data.eastmoney.com/notices/detail/002048/AN202510171763950610.html
002048,宁波华翔,3-3上市保荐书(申报稿)(宁波华翔电子股份有限公司),深主板再融资上市保荐书,2025-10-17,https://data.eastmoney.com/notices/detail/002048/AN202510171763950609.html
301488,豪恩汽电,3-1证券发行保荐书(申报稿)(深圳市豪恩汽车电子装备股份有限公司),创业板再融资发行保荐书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/301488/AN202510171763950606.html
301488,豪恩汽电,4-1法律意见书(申报稿)(深圳市豪恩汽车电子装备股份有限公司),创业板再融资法律意见书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/301488/AN202510171763950605.html
300815,玉禾田,4-1法律意见书(申报稿)(玉禾田环境发展集团股份有限公司),创业板再融资法律意见书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/300815/AN202510171763950602.html
300815,玉禾田,3-3上市保荐书(申报稿)(玉禾田环境发展集团股份有限公司),创业板再融资上市保荐书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/300815/AN202510171763950601.html
300815,玉禾田,3-1证券发行保荐书(申报稿)(玉禾田环境发展集团股份有限公司),创业板再融资发行保荐书申报稿,2025-10-17,https://data.eastmoney.com/notices/detail/300815/AN202510171763950600.html
