序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,603488,展鹏科技,扣除非经常性损益后的净利润,"预计2024年1-12月扣除非经常性损益后的净利润亏损:1,642.82万元,同比上年下降:129.33%,同比上年降低7,244.6万元。",-16428200.0,-129.33,"公司在披露2024年度业绩预告时,部分事项尚未进行完整的审计评估程序,随着年度审计工作的推进,需对公司2024年度业绩预告进行更正。本次业绩预告更正的主要原因如下:(一)部分军工项目因验收确认依据不充分,公司基于谨慎性原则,经与年审会计师深入沟通,暂不在2024年度确认部分项目收入,导致原预测报告期内的营业收入和利润减少。(二)虽然领为军融截止2024年底在手订单充沛,但因部分军工项目的交付及验收延期,导致控股子公司领为军融2024年业绩未达到对赌标准,基于谨慎性原则,经过与年审会计师和资产评估师沟通,计提商誉减值518.68万元,导致原预测报告期内的利润减少。",首亏,56017500.0,2025-04-30
2,603488,展鹏科技,扣除后营业收入,"预计2024年1-12月扣除后营业收入:46,462.7万元。",464627000.0,,"公司在披露2024年度业绩预告时,部分事项尚未进行完整的审计评估程序,随着年度审计工作的推进,需对公司2024年度业绩预告进行更正。本次业绩预告更正的主要原因如下:(一)部分军工项目因验收确认依据不充分,公司基于谨慎性原则,经与年审会计师深入沟通,暂不在2024年度确认部分项目收入,导致原预测报告期内的营业收入和利润减少。(二)虽然领为军融截止2024年底在手订单充沛,但因部分军工项目的交付及验收延期,导致控股子公司领为军融2024年业绩未达到对赌标准,基于谨慎性原则,经过与年审会计师和资产评估师沟通,计提商誉减值518.68万元,导致原预测报告期内的利润减少。",不确定,,2025-04-30
3,603488,展鹏科技,归属于上市公司股东的净利润,"预计2024年1-12月归属于上市公司股东的净利润盈利:996.39万元,同比上年下降:87.8%,同比上年降低7,169.39万元。",9963900.0,-87.8,"公司在披露2024年度业绩预告时,部分事项尚未进行完整的审计评估程序,随着年度审计工作的推进,需对公司2024年度业绩预告进行更正。本次业绩预告更正的主要原因如下:(一)部分军工项目因验收确认依据不充分,公司基于谨慎性原则,经与年审会计师深入沟通,暂不在2024年度确认部分项目收入,导致原预测报告期内的营业收入和利润减少。(二)虽然领为军融截止2024年底在手订单充沛,但因部分军工项目的交付及验收延期,导致控股子公司领为军融2024年业绩未达到对赌标准,基于谨慎性原则,经过与年审会计师和资产评估师沟通,计提商誉减值518.68万元,导致原预测报告期内的利润减少。",预减,81657800.0,2025-04-30
4,603488,展鹏科技,营业收入,"预计2024年1-12月营业收入:46,913.81万元。",469138100.0,-6.8,"公司在披露2024年度业绩预告时,部分事项尚未进行完整的审计评估程序,随着年度审计工作的推进,需对公司2024年度业绩预告进行更正。本次业绩预告更正的主要原因如下:(一)部分军工项目因验收确认依据不充分,公司基于谨慎性原则,经与年审会计师深入沟通,暂不在2024年度确认部分项目收入,导致原预测报告期内的营业收入和利润减少。(二)虽然领为军融截止2024年底在手订单充沛,但因部分军工项目的交付及验收延期,导致控股子公司领为军融2024年业绩未达到对赌标准,基于谨慎性原则,经过与年审会计师和资产评估师沟通,计提商誉减值518.68万元,导致原预测报告期内的利润减少。",略减,503365193.98,2025-04-30
5,603398,*ST沐邦,归属于上市公司股东的净利润,"预计2024年1-12月归属于上市公司股东的净利润亏损:110,000万元至120,000万元。",-1150000000.0,-4165.285,"随着年报审计工作的推进,公司与年审会计师沟通后,对公司2024年度业绩预告进行更正。业绩预亏更正的主要原因系:1、经与年审会计师沟通,主要系公司玩具原料销售业务收入由总额法变更为净额法,营业收入调减4,698.98万元;公司光伏业务部分营业收入不满足收入确认条件,调减营业收入1,184.14万元。2、前次业绩预告,公司财务根据业绩补偿相关协议,计提业绩补偿款9.8亿元。截至本公告日,公司尚有2.39亿元股权对价款需根据豪安能源2024年度和2025年度的业绩完成情况支付。公司期后与收购豪安能源的业绩承诺人张忠安进行了沟通,根据沟通结果,公司认为前期关于上海证券交易所《关于江西沐邦高科股份有限公司业绩预告相关事项的问询函》的回复公告中“公司判断业绩承诺义务人基本具备偿还能力”审慎性不足。根据最新沟通结果,将2024年度确认的业绩补偿款由9.80亿元调整为2.39亿元。",首亏,28288300.0,2025-04-30
6,603398,*ST沐邦,扣除后营业收入,"预计2024年1-12月扣除后营业收入:27,000万元至28,000万元。",275000000.0,,"随着年报审计工作的推进,公司与年审会计师沟通后,对公司2024年度业绩预告进行更正。业绩预亏更正的主要原因系:1、经与年审会计师沟通,主要系公司玩具原料销售业务收入由总额法变更为净额法,营业收入调减4,698.98万元;公司光伏业务部分营业收入不满足收入确认条件,调减营业收入1,184.14万元。2、前次业绩预告,公司财务根据业绩补偿相关协议,计提业绩补偿款9.8亿元。截至本公告日,公司尚有2.39亿元股权对价款需根据豪安能源2024年度和2025年度的业绩完成情况支付。公司期后与收购豪安能源的业绩承诺人张忠安进行了沟通,根据沟通结果,公司认为前期关于上海证券交易所《关于江西沐邦高科股份有限公司业绩预告相关事项的问询函》的回复公告中“公司判断业绩承诺义务人基本具备偿还能力”审慎性不足。根据最新沟通结果,将2024年度确认的业绩补偿款由9.80亿元调整为2.39亿元。",不确定,,2025-04-30
7,603398,*ST沐邦,营业收入,"预计2024年1-12月营业收入:27,000万元至28,000万元。",275000000.0,-83.375,"随着年报审计工作的推进,公司与年审会计师沟通后,对公司2024年度业绩预告进行更正。业绩预亏更正的主要原因系:1、经与年审会计师沟通,主要系公司玩具原料销售业务收入由总额法变更为净额法,营业收入调减4,698.98万元;公司光伏业务部分营业收入不满足收入确认条件,调减营业收入1,184.14万元。2、前次业绩预告,公司财务根据业绩补偿相关协议,计提业绩补偿款9.8亿元。截至本公告日,公司尚有2.39亿元股权对价款需根据豪安能源2024年度和2025年度的业绩完成情况支付。公司期后与收购豪安能源的业绩承诺人张忠安进行了沟通,根据沟通结果,公司认为前期关于上海证券交易所《关于江西沐邦高科股份有限公司业绩预告相关事项的问询函》的回复公告中“公司判断业绩承诺义务人基本具备偿还能力”审慎性不足。根据最新沟通结果,将2024年度确认的业绩补偿款由9.80亿元调整为2.39亿元。",预减,1654025800.0,2025-04-30
8,603398,*ST沐邦,扣除非经常性损益后的净利润,"预计2024年1-12月扣除非经常性损益后的净利润亏损:130,000万元至150,000万元。",-1400000000.0,-13204.565,"随着年报审计工作的推进,公司与年审会计师沟通后,对公司2024年度业绩预告进行更正。业绩预亏更正的主要原因系:1、经与年审会计师沟通,主要系公司玩具原料销售业务收入由总额法变更为净额法,营业收入调减4,698.98万元;公司光伏业务部分营业收入不满足收入确认条件,调减营业收入1,184.14万元。2、前次业绩预告,公司财务根据业绩补偿相关协议,计提业绩补偿款9.8亿元。截至本公告日,公司尚有2.39亿元股权对价款需根据豪安能源2024年度和2025年度的业绩完成情况支付。公司期后与收购豪安能源的业绩承诺人张忠安进行了沟通,根据沟通结果,公司认为前期关于上海证券交易所《关于江西沐邦高科股份有限公司业绩预告相关事项的问询函》的回复公告中“公司判断业绩承诺义务人基本具备偿还能力”审慎性不足。根据最新沟通结果,将2024年度确认的业绩补偿款由9.80亿元调整为2.39亿元。",首亏,10683300.0,2025-04-30
9,603580,艾艾精工,扣除非经常性损益后的净利润,预计2024年1-12月扣除非经常性损益后的净利润亏损:398.83万元。,-3988300.0,-340.0,"截至2025年4月末,因公司安徽子公司厂房消防仍未完成验收,无法在预计时点达到交付使用状态,预估相关固定资产产能利用率不及预期,公司基于谨慎性原则,聘请第三方评估机构对公司长期资产组未来可收回金额进行评估,依据评估结果并按照企业会计准则相关要求,计提固定资产减值损失1,009.50万元,对2024年净利润产生较大影响。减少归属于上市公司股东的净利润757.13万元。减少归属于上市公司股东的扣除非经常性损益的净利润757.13万元。随着金锋馥(滁州)科技股份有限公司(以下简称“金锋馥公司”)年终决算的完成,公司于2025年4月末获得其合并财务报表,其业绩情况与原预测存在差异,经分析对金锋馥的投资存在减值迹象,公司基于谨慎性原则,聘请第三方评估机构对公司持有的金锋馥公司3.2254%股权的公允价值进行评估,预计公允价值变动损失850.00万元,减少归属于上市公司股东的净利润722.50万元。减少归属于上市公司股东的扣除非经常性损益的净利润0万元。本次业绩预亏是公司依据专业评估机构的评估结果谨慎确认的,已与年审会计师事务所进行沟通。",首亏,1661800.0,2025-04-29
10,603580,艾艾精工,归属于上市公司股东的净利润,预计2024年1-12月归属于上市公司股东的净利润亏损:884.61万元。,-8846100.0,-478.64,"截至2025年4月末,因公司安徽子公司厂房消防仍未完成验收,无法在预计时点达到交付使用状态,预估相关固定资产产能利用率不及预期,公司基于谨慎性原则,聘请第三方评估机构对公司长期资产组未来可收回金额进行评估,依据评估结果并按照企业会计准则相关要求,计提固定资产减值损失1,009.50万元,对2024年净利润产生较大影响。减少归属于上市公司股东的净利润757.13万元。减少归属于上市公司股东的扣除非经常性损益的净利润757.13万元。随着金锋馥(滁州)科技股份有限公司(以下简称“金锋馥公司”)年终决算的完成,公司于2025年4月末获得其合并财务报表,其业绩情况与原预测存在差异,经分析对金锋馥的投资存在减值迹象,公司基于谨慎性原则,聘请第三方评估机构对公司持有的金锋馥公司3.2254%股权的公允价值进行评估,预计公允价值变动损失850.00万元,减少归属于上市公司股东的净利润722.50万元。减少归属于上市公司股东的扣除非经常性损益的净利润0万元。本次业绩预亏是公司依据专业评估机构的评估结果谨慎确认的,已与年审会计师事务所进行沟通。",首亏,2336300.0,2025-04-29
