代码,名称,公告标题,公告类型,公告日期,网址
002759,ST天际,天际股份:控股股东及一致行动人减持股份触及1%整数倍的公告,股东/实际控制人股份减持,2025-12-09,https://data.eastmoney.com/notices/detail/002759/AN202512081796367399.html
301683,慧谷新材,深交所上市审核委员会2025年第28次审议会议结果公告,创业板发行上市审核委会议结果公告,2025-12-09,https://data.eastmoney.com/notices/detail/301683/AN202512091797019242.html
300209,行云科技,有棵树:防范控股股东及关联方资金占用管理制度,管理办法/制度,2025-12-09,https://data.eastmoney.com/notices/detail/300209/AN202512081796496210.html
300209,行云科技,有棵树:董事会薪酬与考核委员会议事规则,议事规则/实施细则,2025-12-09,https://data.eastmoney.com/notices/detail/300209/AN202512081796496209.html
300354,东华测试,东华测试:关于控股股东及一致行动人减持股份预披露的公告,股东/实际控制人股份减持,2025-12-09,https://data.eastmoney.com/notices/detail/300354/AN202512091797070620.html
920992,中科美菱,中科美菱:持股5%以上股东拟减持股份的预披露公告(再次披露),股东/实际控制人股份减持,2025-12-09,https://data.eastmoney.com/notices/detail/920992/AN202512091797051490.html
300197,节能铁汉,节能铁汉:关于公司向控股股东申请借款暨关联交易的公告,借贷,2025-12-09,https://data.eastmoney.com/notices/detail/300197/AN202512091797027480.html
300672,国科微,国科微:关于股东股份质押的公告,股份质押、冻结,2025-12-09,https://data.eastmoney.com/notices/detail/300672/AN202512091797023500.html
920950,迅安科技,迅安科技:独立董事任命公告,高管人员任职变动,2025-12-09,https://data.eastmoney.com/notices/detail/920950/AN202512091796980431.html
920950,迅安科技,迅安科技:关于补选第四届董事会审计委员会委员的公告,高管人员任职变动,2025-12-09,https://data.eastmoney.com/notices/detail/920950/AN202512091796980432.html
000039,中集集团,中集集团:000039中集集团投资者关系管理信息20251209,调研活动,2025-12-09,https://data.eastmoney.com/notices/detail/000039/AN202512091796868142.html
600004,白云机场,关于同意广州白云国际机场股份有限公司向特定对象发行股票注册的批复,沪主板再融资审核注册结果通知,2025-12-09,https://data.eastmoney.com/notices/detail/600004/AN202512241807247171.html
688676,金盘科技,关于同意海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券注册的批复,科创板再融资审核注册结果通知,2025-12-09,https://data.eastmoney.com/notices/detail/688676/AN202512241807247165.html
600200,退市苏吴,关于退市苏吴(600200)盘中临时停牌的公告,交易所停复牌公告,2025-12-09,https://data.eastmoney.com/notices/detail/600200/AN202512231806506786.html
688818,电科蓝天,立信会计师事务所(特殊普通合伙)关于中电科蓝天科技股份有限公司首次公开发行股票并在科创板上市的财务报告及审计报告(上会稿)(中电科蓝天科技股份有限公司),科创板发行上市审计报告,2025-12-09,https://data.eastmoney.com/notices/detail/688818/AN202512171802443150.html
688818,电科蓝天,北京市中伦律师事务所关于中电科蓝天科技股份有限公司首次公开发行股票并在科创板上市的法律意见书(上会稿)(中电科蓝天科技股份有限公司),科创板发行上市法律意见书,2025-12-09,https://data.eastmoney.com/notices/detail/688818/AN202512171802443151.html
688818,电科蓝天,中信建投证券股份有限公司关于中电科蓝天科技股份有限公司首次公开发行股票并在科创板上市的发行保荐书(上会稿)(中电科蓝天科技股份有限公司),科创板发行上市发行保荐书,2025-12-09,https://data.eastmoney.com/notices/detail/688818/AN202512171802443148.html
688818,电科蓝天,中信建投证券股份有限公司关于中电科蓝天科技股份有限公司首次公开发行股票并在科创板上市的上市保荐书(上会稿)(中电科蓝天科技股份有限公司),科创板发行上市上市保荐书,2025-12-09,https://data.eastmoney.com/notices/detail/688818/AN202512171802443149.html
300102,乾照光电,乾照光电:关于公司董事辞职暨补选董事的公告,高管人员任职变动,2025-12-09,https://data.eastmoney.com/notices/detail/300102/AN202512111798310380.html
301526,国际复材,国际复材:301526国际复材投资者关系管理信息20251209,调研活动,2025-12-09,https://data.eastmoney.com/notices/detail/301526/AN202512091797188703.html
002121,科陆电子,科陆电子:2025年12月9日投资者关系活动记录表,调研活动,2025-12-09,https://data.eastmoney.com/notices/detail/002121/AN202512091797176761.html
300509,新美星,新美星:江苏新美星包装机械股份有限公司投资者关系活动记录表（12月9日）,调研活动,2025-12-09,https://data.eastmoney.com/notices/detail/300509/AN202512091797145751.html
920808,曙光数创,曙光数创:关于收到海光信息技术股份有限公司取消筹划要约收购事项通知函的公告,其他,2025-12-09,https://data.eastmoney.com/notices/detail/920808/AN202512091797132326.html
300866,安克创新,安克创新:2025年10月30日-12月9日投资者关系活动记录表,调研活动,2025-12-09,https://data.eastmoney.com/notices/detail/300866/AN202512091797126995.html
920267,鑫汇科,鑫汇科:股东减持股份结果公告,股东/实际控制人股份减持,2025-12-09,https://data.eastmoney.com/notices/detail/920267/AN202512091797114433.html
000973,佛塑科技,深交所并购重组审核委员会2025年第13次审议会议结果公告,创业板并购重组委会议结果公告,2025-12-09,https://data.eastmoney.com/notices/detail/000973/AN202512091797111837.html
300320,海达股份,海达股份:300320海达股份投资者关系管理信息20251209,调研活动,2025-12-09,https://data.eastmoney.com/notices/detail/300320/AN202512091797109275.html
301046,能辉科技,能辉科技:关于提前赎回“能辉转债”的第五次提示性公告,其他,2025-12-09,https://data.eastmoney.com/notices/detail/301046/AN202512091797106157.html
301269,华大九天,华大九天:董事、高级管理人员薪酬管理制度,管理办法/制度,2025-12-09,https://data.eastmoney.com/notices/detail/301269/AN202512091797101618.html
