序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,688530,欧莱新材,归属于上市公司股东的净利润,"预计2024年1-3月归属于上市公司股东的净利润盈利:1,060.13万元,同比上年增长:2.4%。",10601300.0,2.4,"2024年1-3月,公司扣除非经常性损益后归属于母公司所有者的净利润同比下降的主要原因系:2023年2月钼粉大宗商品市场价格达到阶段性高点,公司择机对外销售了部分钼及钼合金废料以赚取差价,而2024年1-3月钼粉大宗商品市场价格较为平稳。",略增,10352779.9,2024-05-06
2,688530,欧莱新材,扣除非经常性损益后的净利润,"预计2024年1-3月扣除非经常性损益后的净利润盈利:811.05万元,同比上年下降:13.93%。",8110500.0,-13.93,"2024年1-3月,公司扣除非经常性损益后归属于母公司所有者的净利润同比下降的主要原因系:2023年2月钼粉大宗商品市场价格达到阶段性高点,公司择机对外销售了部分钼及钼合金废料以赚取差价,而2024年1-3月钼粉大宗商品市场价格较为平稳。",略减,9422679.9,2024-05-06
3,688530,欧莱新材,营业收入,"预计2024年1-3月营业收入:11,141.61万元,同比上年增长:5.38%。",111416100.0,5.38,"2024年1-3月,公司扣除非经常性损益后归属于母公司所有者的净利润同比下降的主要原因系:2023年2月钼粉大宗商品市场价格达到阶段性高点,公司择机对外销售了部分钼及钼合金废料以赚取差价,而2024年1-3月钼粉大宗商品市场价格较为平稳。",略增,105725225.58,2024-05-06
4,001277,速达股份,扣除非经常性损益后的净利润,"预计2024年1-3月扣除非经常性损益后的净利润盈利:3,132.46万元,同比上年增长:54.42%。",31324600.0,54.42,"2024年1-3月公司业务发展较好,营业收入较去年同期上升17.40%,扣除非经常性损益后归属于母公司股东的净利润较去年同期上升54.42%。营业收入和扣除非经常性损益后归属于母公司股东的净利润增长的主要原因是客户对于备品配件供应管理业务的需求较为旺盛,以及专业化总包服务项目开展状况良好。此外,公司扣除非经常性损益后归属于母公司股东的净利润增长率大于营业收入增长率,主要原因是高毛利率的备品配件供应管理业务的收入增长较多。神东分公司因自身需求,于2023年11月至12月向发行人下达了较多的采购计划,根据交付周期,发行人于2024年一季度确认了较多备品配件供应管理业务收入。",预增,20285700.0,2024-05-06
5,001277,速达股份,营业收入,"预计2024年1-3月营业收入:28,000.64万元,同比上年增长:17.4%。",280006400.0,17.4,"2024年1-3月公司业务发展较好,营业收入较去年同期上升17.40%,扣除非经常性损益后归属于母公司股东的净利润较去年同期上升54.42%。营业收入和扣除非经常性损益后归属于母公司股东的净利润增长的主要原因是客户对于备品配件供应管理业务的需求较为旺盛,以及专业化总包服务项目开展状况良好。此外,公司扣除非经常性损益后归属于母公司股东的净利润增长率大于营业收入增长率,主要原因是高毛利率的备品配件供应管理业务的收入增长较多。神东分公司因自身需求,于2023年11月至12月向发行人下达了较多的采购计划,根据交付周期,发行人于2024年一季度确认了较多备品配件供应管理业务收入。",略增,238505500.0,2024-05-06
6,001277,速达股份,归属于上市公司股东的净利润,"预计2024年1-3月归属于上市公司股东的净利润盈利:2,998.51万元,同比上年增长:44.69%。",29985100.0,44.69,"2024年1-3月公司业务发展较好,营业收入较去年同期上升17.40%,扣除非经常性损益后归属于母公司股东的净利润较去年同期上升54.42%。营业收入和扣除非经常性损益后归属于母公司股东的净利润增长的主要原因是客户对于备品配件供应管理业务的需求较为旺盛,以及专业化总包服务项目开展状况良好。此外,公司扣除非经常性损益后归属于母公司股东的净利润增长率大于营业收入增长率,主要原因是高毛利率的备品配件供应管理业务的收入增长较多。神东分公司因自身需求,于2023年11月至12月向发行人下达了较多的采购计划,根据交付周期,发行人于2024年一季度确认了较多备品配件供应管理业务收入。",略增,20724300.0,2024-05-06
7,002583,海能达,每股收益,预计2024年1-3月每股收益盈利:0.055元至0.0742元。,0.0646,,"报告期内,公司坚持高质量发展方针,坚定贯彻“步步为盈”经营理念,稳健推进各项业务开展,营业收入实现大幅增加,同比增长超40%。其中,主营专用通信业务得益于国内及海外渠道业务拓展取得成效,同比增长50%左右;EMS业务得益于新能源汽车领域订单增加,同比增长超80%。同时,公司内部秉承精细化管理理念,严控各项费用支出,期间费用率同比下降。",扭亏,-0.03,2024-04-27
8,002583,海能达,扣除非经常性损益后的净利润,"预计2024年1-3月扣除非经常性损益后的净利润盈利:7,000万元至10,500万元,同比上年增长:212.84%至269.25%。",87500000.0,241.045,"报告期内,公司坚持高质量发展方针,坚定贯彻“步步为盈”经营理念,稳健推进各项业务开展,营业收入实现大幅增加,同比增长超40%。其中,主营专用通信业务得益于国内及海外渠道业务拓展取得成效,同比增长50%左右;EMS业务得益于新能源汽车领域订单增加,同比增长超80%。同时,公司内部秉承精细化管理理念,严控各项费用支出,期间费用率同比下降。",扭亏,-62037000.0,2024-04-27
9,002583,海能达,归属于上市公司股东的净利润,"预计2024年1-3月归属于上市公司股东的净利润盈利:10,000万元至13,500万元,同比上年增长:277.54%至339.68%。",117500000.0,308.61,"报告期内,公司坚持高质量发展方针,坚定贯彻“步步为盈”经营理念,稳健推进各项业务开展,营业收入实现大幅增加,同比增长超40%。其中,主营专用通信业务得益于国内及海外渠道业务拓展取得成效,同比增长50%左右;EMS业务得益于新能源汽车领域订单增加,同比增长超80%。同时,公司内部秉承精细化管理理念,严控各项费用支出,期间费用率同比下降。",扭亏,-56325200.0,2024-04-27
10,688033,*ST天宜,归属于上市公司股东的净利润,"预计2024年1-3月归属于上市公司股东的净利润亏损:12,800万元至13,500万元,同比上年下降:382.63%至398.08%,同比上年降低17,328.96万元至18,028.96万元。",-131500000.0,-390.355,"报告期内,公司2024年一季度总体收入规模同步略升,净利润预计同比下降。(1)报告期内,受光伏产业链组件价格下行、去库存等因素影响,光伏下游各环节开工率出现不同程度下滑,致第一季度单晶拉制耗材产品需求疲软,销售价格下滑,光伏新能源业务板块利润不及预期;受轨道交通业务所在行业竞争加剧及低价中标政策影响,公司主动调整市场策略,产品价格下降,导致轨道交通业务营业收入降低,形成该业务亏损;(2)报告期内,公司新增厂房及产线陆续建成转固,致使折旧、摊销费用增加,产品单位成本上升,进一步压缩公司利润;(3)报告期内,公司外部融资成本较去年同期增加,影响报告期内利润总额。",首亏,45289600.0,2024-04-25
